SMILES,pIC50,pIC50-min,pIC50-max
COc1ccc(C[C@@H]2NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@]3(C)CCCN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc3cccc(c3)CSCCNC(=O)[C@]3(C)CCCN3C2=O)cc1,6.26,6.259637310505756,6.259637310505756
C[C@H]1NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC1=O,6.26,6.259637310505756,6.259637310505756
C[C@H]1NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC1=O,5.18,5.183758700008217,5.183758700008217
COc1ccc(C[C@@H]2NC(=O)[C@H](Cc3ccc(OC)cc3)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H]([C@@H](C)OC)NC(=O)CCSCc3cccc(c3)CSC[C@@H](C(N)=O)NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccc(OC)cc3)NC(=O)[C@H](Cc3ccc(OC)cc3)NC(=O)[C@H](CC(C)C)NC2=O)cc1,7.30,7.301029995663981,7.301029995663981
COc1ccc(C[C@@H]2NC(=O)[C@@H](CC(C)C)NC(=O)[C@H]([C@@H](C)OC)NC(=O)CCSCc3cccc(c3)CSC[C@@H](C(N)=O)NC(=O)[C@]3(C)CCCN3C(=O)[C@H](Cc3ccc(OC)cc3)NC(=O)[C@H]([C@@H](C)OC)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](Cc3ccc(OC)cc3)NC2=O)cc1,7.30,7.301029995663981,7.301029995663981
COc1ccc(C[C@@H]2NC(=O)CCSCc3cccc(c3)CSC[C@@H](C(N)=O)NC(=O)[C@]3(C)CCCN3C(=O)[C@H](Cc3ccc(OC)cc3)NC(=O)[C@H]([C@@H](C)OC)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](Cc3ccc(OC)cc3)NC(=O)[C@H](Cc3ccc(OC)cc3)N(C)C(=O)[C@@H](CC(C)C)NC2=O)cc1,7.30,7.301029995663981,7.301029995663981
COc1ccc(C[C@@H]2NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)CCSCc3cccc(c3)CSC[C@@H](C(N)=O)NC(=O)[C@]3(C)CCCN3C(=O)[C@H](Cc3ccc(OC)cc3)NC(=O)[C@H]([C@@H](C)OC)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](Cc3ccc(OC)cc3)NC2=O)cc1,6.26,6.259637310505756,6.259637310505756
CCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)[C@H]([C@@H](C)OC)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cn(C)c3ccccc23)N(C)C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H](CC(C)C)N(C)C1=O,7.30,7.301029995663981,7.301029995663981
CCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)[C@H]([C@@H](C)OC)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cn(C)c3ccccc23)N(C)C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H](CC(C)C)N(C)C1=O,<6.30,6.0,6.301029995663981
COc1ccc(C[C@@H]2NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc3cc(F)cc(c3)CSC[C@@H](C(N)=O)NC(=O)[C@]3(C)CCCN3C2=O)cc1,<6.30,6.0,6.301029995663981
C[C@H]1NC(=O)[C@H](CCCCN)NC(=O)CCSCc2cc(F)cc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC1=O,4.45,4.449771646944906,4.449771646944906
C[C@@H](O)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cc(F)cc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC1=O,6.26,6.259637310505756,6.259637310505756
C[C@H]1NC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC1=O,6.26,6.259637310505756,6.259637310505756
CC[C@@]12CCCN1C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]c3ccc(F)cc13)NC(=O)[C@H](Cc1c[nH]c3ccc(F)cc13)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc1cccc(c1)CSC[C@@H](C(N)=O)NC2=O,5.18,5.183758700008217,5.183758700008217
CCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)[C@H]([C@@H](C)OC)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H](CC(C)C)N(C)C1=O,7.30,7.301029995663981,7.301029995663981
COc1ccc(C[C@@H]2NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)CCCCc3cccc(c3)CCCCNC(=O)[C@@H]3CCCN3C2=O)cc1,6.26,6.259637310505756,6.259637310505756
CC(C)(O)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC1=O,6.26,6.259637310505756,6.259637310505756
