SMILES,pIC50,pIC50-min,pIC50-max
Cc1c(-c2cccc(Cl)c2)c2cc(ccc2n1C\C(F)=C\CN)C(O)=O,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)-c1nn[nH]n1,<6.52,6.221848749616356,6.522878745280337
CCOC(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)C(C)(C)C)c2c1,<6.52,6.221848749616356,6.522878745280337
Cc1c(-c2cccc(c2)C(C)(C)C)c2cc(ccc2n1C\C(F)=C\CN)C(O)=O,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2cnccc12,<6.52,6.221848749616356,6.522878745280337
CCOC(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)S(=O)(=O)N(C)C,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)C(O)=O)c2c1,<6.52,6.221848749616356,6.522878745280337
CC(C)NC(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2c1,<6.52,6.221848749616356,6.522878745280337
CC(C)N(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2c1,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(O)cc12,<6.52,6.221848749616356,6.522878745280337
CN(c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)C(O)=O)S(C)(=O)=O,<6.52,6.221848749616356,6.522878745280337
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)N(C)S(C)(=O)=O)c2c1,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)C(O)=O,<6.52,6.221848749616356,6.522878745280337
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cncc(c3)S(=O)(=O)N(C)C)c2c1,<6.52,6.221848749616356,6.522878745280337
CCOC(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2n1,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(nc12)C(O)=O,<6.52,6.221848749616356,6.522878745280337
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2n1,<6.52,6.221848749616356,6.522878745280337
CC(C)NC(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2n1,<6.52,6.221848749616356,6.522878745280337
CNC(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2n1,<6.52,6.221848749616356,6.522878745280337
CN(C)C(=O)c1cccc2c(c(C)n(C\C(F)=C\CN)c12)-c1cccc(c1)S(=O)(=O)N(C)C,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2c(cccc12)C(O)=O,<6.52,6.221848749616356,6.522878745280337
COc1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2c1,<6.52,6.221848749616356,6.522878745280337
