SMILES,Unit,Qualifier,Unit_Source
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)F)Cl)C4=CC=C(C=C4)F,nM,>,original
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)F,nM,>,original
C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,nM,=,original
C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,nM,=,original
CS(=O)(=O)C1=CC(=CC(=C1)OC2=CC=CC(=C2)C3=C4C=CC=C(C4=NC=C3C(=O)N)C(F)(F)F)Cl,nM,=,original
CC1=NC2=C(C=CC=C2N=C1C3=CC=C(C=C3)C4=CC(=CC=C4)S(=O)(=O)C)C(F)(F)F,nM,=,original
CC1=NC2=C(C=CC=C2N=C1C3=CC=C(C=C3)C4=CC=C(C=C4)S(=O)(=O)C)C(F)(F)F,nM,>,original
CC1=NC2=C(C=CC=C2N=C1C3=CC=C(C=C3)C4=CC=CC=C4S(=O)(=O)C)C(F)(F)F,nM,>,original
CC1=NC2=C(C=CC=C2N=C1C3=CC=CC(=C3)C4=CC(=CC=C4)S(=O)(=O)C)C(F)(F)F,nM,>,original
CC1=NC2=C(C=CC=C2N=C1C3=CC=CC(=C3)C4=CC=C(C=C4)S(=O)(=O)C)C(F)(F)F,nM,>,original
CCS(=O)(=O)C1=CC=CC(=C1)C2=CC=C(C=C2)C3=NC4=CC=CC(=C4N=C3C)C(F)(F)F,nM,=,original
CC1=NC2=C(C=CC=C2N=C1C3=CC=C(C=C3)C4=CC(=CC=C4)S(=O)(=O)NC)C(F)(F)F,nM,=,original
CC1=NC2=C(C=CC=C2N=C1C3=CC=C(C=C3)C4=CC(=CC=C4)C(=O)NC)C(F)(F)F,nM,>,original
CCC1=NC2=C(C=CC=C2N=C1C3=CC=C(C=C3)C4=CC(=CC=C4)S(=O)(=O)C)C(F)(F)F,nM,=,original
CS(=O)(=O)C1=CC=CC(=C1)C2=CC=C(C=C2)C3=NC4=CC=CC(=C4N=C3)C(F)(F)F,nM,>,original
CC1=C(N=C2C=CC=C(C2=N1)Cl)C3=CC=C(C=C3)C4=CC(=CC=C4)S(=O)(=O)C,nM,=,original
CC1=NC2=C(C=CC=C2N=C1C3=CC=C(C=C3)C4=CC(=CC=C4)S(=O)(=O)C)C#N,nM,=,original
