Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Deep
Family: nn
Endpoint: pIC50
Species: all_SP
Total Features: 3599
Top Features Count: 197
Cumulative Importance: 0.1996
================================================================================

                      feature  importance  importance_normalized  cumulative
          FP_AtomPair1024_987    0.001176               0.000894    0.122608
     FP_MorganFeat1024_r2_553    0.001176               0.000893    0.123501
              FP_RDKit512_320    0.001175               0.000893    0.124394
          FP_Morgan1024_r2_94    0.001173               0.000891    0.125286
              FP_RDKit512_358    0.001171               0.000890    0.126175
       FP_TopoTorsion1024_832    0.001166               0.000886    0.127061
          FP_AtomPair1024_132    0.001162               0.000883    0.127944
          FP_AtomPair1024_689    0.001161               0.000882    0.128826
     FP_MorganFeat1024_r2_831    0.001142               0.000868    0.129694
         FP_Morgan1024_r2_191    0.001137               0.000864    0.130558
     FP_MorganFeat1024_r2_519    0.001135               0.000862    0.131420
         FP_Morgan1024_r2_167    0.001133               0.000861    0.132281
        FP_TopoTorsion1024_34    0.001130               0.000859    0.133139
         FP_Morgan1024_r2_476    0.001130               0.000858    0.133998
      FP_MorganFeat1024_r2_49    0.001128               0.000857    0.134855
                     AC2D_160    0.001126               0.000856    0.135711
            Flex_FractionCSP3    0.001121               0.000852    0.136563
         FP_Morgan1024_r2_780    0.001120               0.000851    0.137414
           RDKit2D_fr_aniline    0.001120               0.000851    0.138265
    FP_MorganFeat1024_r2_1009    0.001120               0.000851    0.139115
         FP_Morgan1024_r2_929    0.001117               0.000848    0.139964
              FP_RDKit512_143    0.001108               0.000842    0.140806
       FP_TopoTorsion1024_981    0.001106               0.000840    0.141646
              FP_RDKit512_506    0.001104               0.000839    0.142485
              FP_RDKit512_352    0.001102               0.000837    0.143322
     FP_MorganFeat1024_r2_546    0.001096               0.000833    0.144154
          FP_AtomPair1024_719    0.001095               0.000832    0.144987
         FP_Morgan1024_r2_464    0.001095               0.000832    0.145819
       FP_TopoTorsion1024_633    0.001089               0.000827    0.146646
         FP_Morgan1024_r2_580    0.001089               0.000827    0.147473
                  FP_MACCS_33    0.001089               0.000827    0.148301
         RDKit2D_fr_piperdine    0.001088               0.000827    0.149128
              FP_RDKit512_362    0.001088               0.000827    0.149954
          FP_Morgan1024_r2_18    0.001078               0.000819    0.150774
       FP_TopoTorsion1024_696    0.001077               0.000818    0.151592
          FP_AtomPair1024_729    0.001075               0.000817    0.152408
     FP_MorganFeat1024_r2_839    0.001075               0.000816    0.153225
        FP_Morgan1024_r2_1009    0.001073               0.000816    0.154040
          FP_AtomPair1024_888    0.001073               0.000815    0.154855
         FP_Morgan1024_r2_787    0.001069               0.000813    0.155668
       FP_TopoTorsion1024_305    0.001069               0.000812    0.156480
              FP_RDKit512_174    0.001067               0.000811    0.157291
RDKit2D_fr_para_hydroxylation    0.001067               0.000811    0.158101
     FP_MorganFeat1024_r2_576    0.001066               0.000810    0.158911
       FP_TopoTorsion1024_283    0.001065               0.000809    0.159721
              FP_RDKit512_250    0.001063               0.000808    0.160528
       FP_TopoTorsion1024_617    0.001063               0.000807    0.161336
       FP_TopoTorsion1024_944    0.001053               0.000800    0.162136
                Dock_Center_Y    0.001053               0.000800    0.162936
              FP_RDKit512_498    0.001051               0.000799    0.163735
       FP_TopoTorsion1024_667    0.001047               0.000795    0.164530
     FP_MorganFeat1024_r2_503    0.001045               0.000794    0.165325
              FP_RDKit512_405    0.001045               0.000794    0.166119
     FP_MorganFeat1024_r2_147    0.001039               0.000789    0.166908
           FP_AtomPair1024_47    0.001037               0.000788    0.167695
       FP_TopoTorsion1024_712    0.001036               0.000787    0.168483
       FP_TopoTorsion1024_485    0.001032               0.000784    0.169267
         FP_Morgan1024_r2_720    0.001029               0.000782    0.170049
         Tautomer_IsCanonical    0.001027               0.000780    0.170829
         FP_Morgan1024_r2_470    0.001024               0.000778    0.171607
          FP_AtomPair1024_469    0.001024               0.000778    0.172385
     FP_MorganFeat1024_r2_661    0.001021               0.000776    0.173161
          FP_AtomPair1024_421    0.001018               0.000773    0.173934
       FP_TopoTorsion1024_218    0.001016               0.000772    0.174706
     FP_MorganFeat1024_r2_437    0.001015               0.000771    0.175478
         FP_Morgan1024_r2_876    0.001011               0.000768    0.176246
          FP_AtomPair1024_625    0.001010               0.000767    0.177013
          FP_AtomPair1024_188    0.001008               0.000766    0.177779
     FP_MorganFeat1024_r2_294    0.001007               0.000765    0.178544
              Shape_Ratio_W_T    0.001007               0.000765    0.179309
         FP_Morgan1024_r2_837    0.001005               0.000764    0.180073
                     AC2D_154    0.001005               0.000764    0.180836
         FP_Morgan1024_r2_586    0.001005               0.000764    0.181600
              FP_RDKit512_207    0.001004               0.000763    0.182363
         FP_Morgan1024_r2_933    0.001004               0.000763    0.183126
         FP_Morgan1024_r2_971    0.001003               0.000762    0.183888
       FP_TopoTorsion1024_382    0.001003               0.000762    0.184650
               FP_RDKit512_52    0.001001               0.000760    0.185410
          FP_AtomPair1024_592    0.000997               0.000757    0.186168
         FP_Morgan1024_r2_495    0.000995               0.000756    0.186924
       FP_TopoTorsion1024_781    0.000995               0.000756    0.187679
         FP_Morgan1024_r2_568    0.000991               0.000753    0.188433
     FP_MorganFeat1024_r2_616    0.000991               0.000753    0.189185
       FP_TopoTorsion1024_796    0.000985               0.000748    0.189934
     FP_MorganFeat1024_r2_117    0.000984               0.000747    0.190681
         FP_Morgan1024_r2_690    0.000981               0.000745    0.191426
              FP_RDKit512_145    0.000980               0.000745    0.192171
               FP_RDKit512_82    0.000979               0.000744    0.192915
     FP_MorganFeat1024_r2_877    0.000978               0.000743    0.193658
                Dock_Center_Z    0.000977               0.000743    0.194401
              FP_RDKit512_470    0.000977               0.000742    0.195143
         FP_Morgan1024_r2_189    0.000976               0.000742    0.195884
         FP_Morgan1024_r2_355    0.000972               0.000739    0.196623
       FP_TopoTorsion1024_644    0.000972               0.000738    0.197361
          FP_AtomPair1024_816    0.000971               0.000738    0.198099
     FP_MorganFeat1024_r2_785    0.000970               0.000737    0.198837
              FP_RDKit512_424    0.000966               0.000734    0.199570
