average,sample_weight,SMILES,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17
5.849485002168009,0.7180566294860651,COc1cccc(C2(C(=O)N(C)S(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)CCN(c3ncccn3)CC2)c1,8.413006742293092,-5.996658837915211,0.05058162492047428,5.481118018161368,6.112539720102339,-12.266636079972152,-2.078735387066239,-11.432707815000153,-4.052558329645128,-1.7484501043104177,-7.75052518216818,-9.400816944790904,-7.454041909064233,3.7717960315485834,0.865103285015656,-6.29218731859198,1.9689942112607717
7.744727494896693,2.8796224700928965,COc1cccc(C2(CNC(=O)Nc3c(C(C)C)cc(N)cc3C(C)C)CCN(c3ccccc3OCCCO)CC2)c1,10.449760670575735,22.57836273664469,-28.975578687258096,-11.54322281335092,-5.184780042097403,3.4230258411739882,-6.6946759001653975,4.672889671223526,-6.79056630792933,-0.07767080588442854,-3.2309241135201217,-6.315961980632995,2.3270225115287073,-2.7862503065965374,0.040401339665183014,0.9216912689296161,-1.4460975548891766
5.849485002168009,0.7180566294860651,COc1cccc(C2(C(=O)Nc3c(C(C)C)cccc3C(C)C)CCN(c3ccccc3OC)CC2)c1,-16.541556771614612,9.682370739191386,-22.494309924663987,3.141929782698641,17.00297374115726,-10.07982442074784,10.130335621902674,-2.1953463768625876,8.814779973152575,-2.8707412536987422,1.573085416434052,6.000670220834082,-0.7799677084835238,0.7383442956768427,-1.0523809912181927,1.1841085018761393,1.4944644508539513
5.849485002168009,0.7180566294860651,COc1cccc(C2(C(=O)NS(=O)(=O)Nc3c(C(C)C)cccc3C(C)C)CCN(c3ccccc3OC)CC2)c1,0.31467927526179357,7.625912357357882,1.7833610830539912,3.471855184311364,7.069583731643449,9.881320057431639,-5.04829085292962,0.3652742896202009,5.012247465863688,16.438535109022702,5.371567531922175,-5.509770515542292,-3.293813486314268,8.175306913489006,-1.0125305112022667,-3.1813072764385883,-4.4843564524509425
5.849485002168009,0.7180566294860651,COc1cccc(C2(C(=O)NS(=O)(=O)Oc3ccccc3)CCN(c3ccccc3OC)CC2)c1,-20.66174617976455,7.05835397143855,9.613007605641043,-2.8875831043940545,-4.342514732111752,-6.294138808812943,5.648906659134952,1.6037711359329587,-2.5547073501074955,-0.9969028877597637,4.780976835606488,-3.2889742706438505,-1.1137035348471243,-5.257362298085861,-6.499624742446284,-3.9420068679098272,-5.885817088596637
5.849485002168009,0.7180566294860651,COc1cccc(C2(C(=O)NS(=O)(=O)Oc3ccccc3C)CCN(c3ccccc3OC)CC2)c1,-17.94252732869316,8.271315583554012,9.529036243539416,-0.30914557705142637,-5.440916196766919,-5.489744079949748,4.43415704965435,1.177310692838585,-4.886873419676916,1.2710843595108576,0.5501432305245936,-1.8762298969594948,3.8828072675473813,0.20690229574381475,0.9842607223758928,-2.3286446762334907,-2.5099668862201776
5.849485002168009,0.7180566294860651,CCCc1ccccc1OS(=O)(=O)NC(=O)C1(c2cccc(OC)c2)CCN(c2ccccc2OC)CC1,-12.350603806251245,9.835973784387233,6.124792718326885,-0.1352509576050269,-6.07907355694205,1.0509077212948816,-3.1520287244104703,1.1876921202811166,-6.715650968812066,1.6115536173513758,2.8760542452701814,0.9214776026425029,-11.675950899801977,0.9529174645436823,-3.5575667756924645,8.531691798491039,10.243063404726106
5.849485002168009,0.7180566294860651,COc1cccc(C2(C(=O)NS(=O)(=O)Oc3ccccc3C3CCCC3)CCN(c3ccccc3OC)CC2)c1,-8.735969847326754,11.165661800503536,9.459513096952087,-2.70574802946449,-1.0140661340751296,7.8864357556517,-10.493043066887083,1.2462945509717682,7.512805436546288,-15.77374834226327,-5.488469737540063,2.6176913574370775,-5.351317661004777,1.157594599456916,3.299184547531292,-2.712593135254536,-4.917177192559593
6.3872161432802645,2.8796224700928965,COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C)cccc3C)CCN(c3ccccc3OC)CC2)c1,-14.80741879491618,6.948218804617302,6.0144598299440775,0.20661426617139306,-4.424791670369155,-3.588605412290838,0.9031993202167771,-1.590998599994885,-4.186432353619072,3.953999484930358,-5.287966340579348,1.5063076691833674,12.58700223101016,6.339925497394865,7.220558359862679,0.22708306807169518,3.985431222493743
6.481486060122112,2.8796224700928965,COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)CCN(c3ccccc3OC)CC2)c1,-2.2316911047265577,2.9489348944765172,4.57929281937686,0.9099381214451431,3.3291726381810496,7.639042681920374,-6.815239464757427,-5.009920820226653,8.671601173045865,1.6834962509274434,-2.9937009075166316,2.7792965675756665,2.1709406928978496,-0.48756186901829834,4.050938400668763,2.910439634999281,3.3524312859196073
