Top Features Contributing to 20% of Performance
================================================================================
Model: SGD
Family: linear
Endpoint: pIC50
Species: all_SP
Total Features: 2146
Top Features Count: 119
Cumulative Importance: 0.1995
================================================================================

                   feature  importance  importance_normalized  cumulative
    FP_TopoTorsion1024_652    0.053545               0.001175    0.186723
           FP_RDKit512_241    0.053296               0.001170    0.187892
       FP_AtomPair1024_380    0.053267               0.001169    0.189062
                   RDF_148    0.053149               0.001167    0.190228
     FP_Morgan1024_r2_1007    0.053104               0.001166    0.191394
           FP_RDKit512_238    0.053067               0.001165    0.192559
       FP_AtomPair1024_575    0.052974               0.001163    0.193721
              FP_MACCS_159    0.052797               0.001159    0.194880
           FP_RDKit512_509    0.052496               0.001152    0.196033
            FP_RDKit512_19    0.052400               0.001150    0.197183
            RDKit2D_AvgIpc    0.052262               0.001147    0.198330
           FP_RDKit512_149    0.052074               0.001143    0.199473
