Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Medium
Family: nn
Endpoint: pIC50
Species: all_SP
Total Features: 3599
Top Features Count: 198
Cumulative Importance: 0.1994
================================================================================

                 feature  importance  importance_normalized  cumulative
  FP_TopoTorsion1024_620    0.001535               0.000920    0.122738
     FP_AtomPair1024_806    0.001526               0.000914    0.123652
          FP_RDKit512_17    0.001514               0.000907    0.124560
  FP_TopoTorsion1024_300    0.001511               0.000905    0.125465
      FP_AtomPair1024_99    0.001509               0.000904    0.126369
          FP_RDKit512_26    0.001502               0.000900    0.127269
     FP_AtomPair1024_660    0.001498               0.000898    0.128167
  FP_TopoTorsion1024_330    0.001493               0.000895    0.129061
FP_MorganFeat1024_r2_513    0.001492               0.000894    0.129955
    FP_Morgan1024_r2_358    0.001490               0.000893    0.130848
     FP_AtomPair1024_726    0.001489               0.000892    0.131740
     FP_AtomPair1024_107    0.001485               0.000890    0.132630
    FP_Morgan1024_r2_144    0.001482               0.000888    0.133517
FP_MorganFeat1024_r2_763    0.001476               0.000884    0.134402
         FP_RDKit512_139    0.001472               0.000882    0.135284
         FP_RDKit512_374    0.001472               0.000882    0.136166
      FP_AtomPair1024_48    0.001464               0.000877    0.137043
     FP_AtomPair1024_932    0.001457               0.000873    0.137916
       RDKit2D_PEOE_VSA8    0.001451               0.000869    0.138785
     FP_AtomPair1024_978    0.001451               0.000869    0.139654
             FP_MACCS_95    0.001447               0.000867    0.140521
     FP_AtomPair1024_179    0.001447               0.000867    0.141388
     FP_AtomPair1024_366    0.001446               0.000866    0.142254
     FP_AtomPair1024_354    0.001446               0.000866    0.143121
     FP_AtomPair1024_878    0.001445               0.000866    0.143987
     FP_AtomPair1024_285    0.001439               0.000862    0.144849
FP_MorganFeat1024_r2_922    0.001436               0.000861    0.145709
FP_MorganFeat1024_r2_132    0.001431               0.000857    0.146567
         FP_RDKit512_266    0.001426               0.000854    0.147421
    FP_Morgan1024_r2_422    0.001425               0.000854    0.148275
    FP_Morgan1024_r2_960    0.001424               0.000853    0.149128
     FP_AtomPair1024_222    0.001424               0.000853    0.149981
         FP_RDKit512_479    0.001421               0.000852    0.150833
     FP_AtomPair1024_269    0.001417               0.000849    0.151682
    FP_Morgan1024_r2_853    0.001416               0.000849    0.152531
    FP_Morgan1024_r2_288    0.001413               0.000846    0.153377
     FP_AtomPair1024_385    0.001412               0.000846    0.154223
    Graph_Centrality_Max    0.001410               0.000845    0.155068
                AC2D_181    0.001407               0.000843    0.155911
          FP_RDKit512_95    0.001401               0.000839    0.156750
     FP_Morgan1024_r2_61    0.001400               0.000839    0.157589
     FP_AtomPair1024_843    0.001399               0.000838    0.158427
     FP_AtomPair1024_849    0.001396               0.000836    0.159263
     FP_AtomPair1024_105    0.001391               0.000834    0.160097
     FP_AtomPair1024_979    0.001390               0.000833    0.160930
                 AC3D_13    0.001389               0.000832    0.161762
                AC2D_140    0.001388               0.000832    0.162593
     FP_AtomPair1024_841    0.001381               0.000827    0.163421
         FP_RDKit512_423    0.001380               0.000827    0.164248
     FP_AtomPair1024_136    0.001380               0.000827    0.165074
     FP_AtomPair1024_326    0.001369               0.000821    0.165895
    FP_Morgan1024_r2_827    0.001368               0.000820    0.166714
  FP_TopoTorsion1024_696    0.001367               0.000819    0.167533
      FP_AtomPair1024_40    0.001365               0.000818    0.168351
    FP_Morgan1024_r2_281    0.001364               0.000817    0.169168
FP_MorganFeat1024_r2_523    0.001364               0.000817    0.169985
  FP_TopoTorsion1024_361    0.001362               0.000816    0.170801
FP_MorganFeat1024_r2_757    0.001362               0.000816    0.171617
   FP_TopoTorsion1024_31    0.001357               0.000813    0.172430
    FP_Morgan1024_r2_573    0.001355               0.000812    0.173242
 FP_TopoTorsion1024_1004    0.001353               0.000811    0.174052
  FP_TopoTorsion1024_202    0.001350               0.000809    0.174861
FP_MorganFeat1024_r2_835    0.001350               0.000809    0.175670
FP_MorganFeat1024_r2_388    0.001349               0.000808    0.176478
    FP_Morgan1024_r2_785    0.001346               0.000806    0.177284
FP_MorganFeat1024_r2_372    0.001345               0.000806    0.178090
     FP_AtomPair1024_902    0.001344               0.000805    0.178895
            FP_MACCS_107    0.001339               0.000802    0.179697
     FP_AtomPair1024_218    0.001338               0.000801    0.180499
  FP_TopoTorsion1024_745    0.001336               0.000801    0.181299
     FP_AtomPair1024_217    0.001331               0.000797    0.182097
         FP_RDKit512_393    0.001329               0.000796    0.182893
         FP_RDKit512_234    0.001325               0.000794    0.183687
     FP_AtomPair1024_984    0.001325               0.000794    0.184481
     FP_AtomPair1024_450    0.001319               0.000791    0.185272
FP_MorganFeat1024_r2_139    0.001319               0.000790    0.186062
     FP_AtomPair1024_331    0.001318               0.000790    0.186851
     FP_AtomPair1024_467    0.001316               0.000788    0.187640
