Molecule_ID,SMILES,RDKit2D_MaxAbsEStateIndex,RDKit2D_MinAbsEStateIndex,RDKit2D_MinEStateIndex,RDKit2D_qed,RDKit2D_SPS,RDKit2D_MolWt,RDKit2D_HeavyAtomMolWt,RDKit2D_ExactMolWt,RDKit2D_NumValenceElectrons,RDKit2D_MaxPartialCharge,RDKit2D_MinPartialCharge,RDKit2D_MaxAbsPartialCharge,RDKit2D_FpDensityMorgan1,RDKit2D_FpDensityMorgan2,RDKit2D_FpDensityMorgan3,RDKit2D_BCUT2D_MWHI,RDKit2D_BCUT2D_MWLOW,RDKit2D_BCUT2D_CHGHI,RDKit2D_BCUT2D_CHGLO,RDKit2D_BCUT2D_LOGPHI,RDKit2D_BCUT2D_LOGPLOW,RDKit2D_BCUT2D_MRHI,RDKit2D_BCUT2D_MRLOW,RDKit2D_AvgIpc,RDKit2D_BalabanJ,RDKit2D_BertzCT,RDKit2D_Chi0,RDKit2D_Chi0n,RDKit2D_Chi0v,RDKit2D_Chi1,RDKit2D_Chi1n,RDKit2D_Chi1v,RDKit2D_Chi2n,RDKit2D_Chi2v,RDKit2D_Chi3n,RDKit2D_Chi3v,RDKit2D_Chi4n,RDKit2D_Chi4v,RDKit2D_HallKierAlpha,RDKit2D_Ipc,RDKit2D_Kappa1,RDKit2D_Kappa2,RDKit2D_Kappa3,RDKit2D_LabuteASA,RDKit2D_PEOE_VSA1,RDKit2D_PEOE_VSA11,RDKit2D_PEOE_VSA12,RDKit2D_PEOE_VSA2,RDKit2D_PEOE_VSA7,RDKit2D_PEOE_VSA8,RDKit2D_PEOE_VSA9,RDKit2D_SMR_VSA1,RDKit2D_SMR_VSA10,RDKit2D_SMR_VSA2,RDKit2D_SMR_VSA3,RDKit2D_SMR_VSA4,RDKit2D_SMR_VSA5,RDKit2D_SMR_VSA6,RDKit2D_SlogP_VSA1,RDKit2D_SlogP_VSA2,RDKit2D_SlogP_VSA3,RDKit2D_SlogP_VSA4,RDKit2D_SlogP_VSA5,RDKit2D_TPSA,RDKit2D_EState_VSA1,RDKit2D_EState_VSA10,RDKit2D_EState_VSA2,RDKit2D_EState_VSA3,RDKit2D_EState_VSA4,RDKit2D_EState_VSA5,RDKit2D_EState_VSA6,RDKit2D_EState_VSA7,RDKit2D_EState_VSA8,RDKit2D_EState_VSA9,RDKit2D_VSA_EState10,RDKit2D_VSA_EState2,RDKit2D_VSA_EState3,RDKit2D_VSA_EState4,RDKit2D_VSA_EState5,RDKit2D_VSA_EState6,RDKit2D_VSA_EState7,RDKit2D_VSA_EState8,RDKit2D_VSA_EState9,RDKit2D_FractionCSP3,RDKit2D_HeavyAtomCount,RDKit2D_NHOHCount,RDKit2D_NOCount,RDKit2D_NumAliphaticHeterocycles,RDKit2D_NumAmideBonds,RDKit2D_NumHAcceptors,RDKit2D_NumHDonors,RDKit2D_NumHeteroatoms,RDKit2D_NumRotatableBonds,RDKit2D_Phi,RDKit2D_RingCount,RDKit2D_MolLogP,RDKit2D_MolMR,RDKit2D_fr_Al_OH,RDKit2D_fr_C_O,RDKit2D_fr_NH0,RDKit2D_fr_NH1,RDKit2D_fr_NH2,RDKit2D_fr_bicyclic,RDKit2D_fr_guanido,AC2D_0,AC2D_1,AC2D_2,AC2D_3,AC2D_4,AC2D_5,AC2D_6,AC2D_7,AC2D_8,AC2D_9,AC2D_10,AC2D_11,AC2D_12,AC2D_13,AC2D_14,AC2D_15,AC2D_16,AC2D_17,AC2D_18,AC2D_19,AC2D_20,AC2D_21,AC2D_22,AC2D_23,AC2D_24,AC2D_25,AC2D_26,AC2D_27,AC2D_28,AC2D_29,AC2D_30,AC2D_31,AC2D_32,AC2D_33,AC2D_34,AC2D_35,AC2D_36,AC2D_37,AC2D_38,AC2D_39,AC2D_40,AC2D_41,AC2D_42,AC2D_43,AC2D_44,AC2D_45,AC2D_46,AC2D_47,AC2D_48,AC2D_49,AC2D_50,AC2D_51,AC2D_52,AC2D_53,AC2D_54,AC2D_55,AC2D_56,AC2D_57,AC2D_58,AC2D_59,AC2D_60,AC2D_61,AC2D_62,AC2D_63,AC2D_64,AC2D_65,AC2D_66,AC2D_67,AC2D_68,AC2D_69,AC2D_70,AC2D_71,AC2D_72,AC2D_73,AC2D_74,AC2D_75,AC2D_76,AC2D_77,AC2D_78,AC2D_79,AC2D_80,AC2D_81,AC2D_82,AC2D_83,AC2D_84,AC2D_85,AC2D_86,AC2D_87,AC2D_88,AC2D_89,AC2D_90,AC2D_91,AC2D_92,AC2D_93,AC2D_94,AC2D_95,AC2D_96,AC2D_97,AC2D_99,AC2D_100,AC2D_101,AC2D_102,AC2D_103,AC2D_104,AC2D_105,AC2D_106,AC2D_107,AC2D_108,AC2D_109,AC2D_110,AC2D_111,AC2D_112,AC2D_114,AC2D_115,AC2D_116,AC2D_117,AC2D_118,AC2D_119,AC2D_120,AC2D_121,AC2D_122,AC2D_123,AC2D_124,AC2D_125,AC2D_126,AC2D_127,AC2D_128,AC2D_129,AC2D_130,AC2D_131,AC2D_132,AC2D_133,AC2D_134,AC2D_135,AC2D_136,AC2D_137,AC2D_138,AC2D_139,AC2D_140,AC2D_141,AC2D_142,AC2D_143,AC2D_144,AC2D_145,AC2D_146,AC2D_147,AC2D_149,AC2D_150,AC2D_151,AC2D_152,AC2D_153,AC2D_154,AC2D_155,AC2D_156,AC2D_158,AC2D_159,AC2D_160,AC2D_161,AC2D_162,AC2D_163,AC2D_164,AC2D_165,AC2D_166,AC2D_167,AC2D_168,AC2D_169,AC2D_170,AC2D_171,AC2D_172,AC2D_173,AC2D_174,AC2D_175,AC2D_176,AC2D_177,AC2D_178,AC2D_179,AC2D_180,AC2D_181,AC2D_182,AC2D_183,AC2D_184,AC2D_185,AC2D_186,AC2D_187,AC2D_188,AC2D_189,AC2D_190,AC2D_191,Ion_BasicNitrogenCount,Sol_ESOL_LogS,Sol_ESOL_AromProp,EState_Sum,EState_Mean,Tautomer_Score,Graph_Avg_Path_Length,Graph_Wiener_Index,Graph_Centrality_Max,Graph_Centrality_Mean,FP_MACCS_114,pKd,pKd-min,pKd-max
MOL_0,CC(C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CSC[C@@H](C(=O)NCC(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CO)NC1=O,15.249601,0.0017734847,-2.0142744,0.019873844,24.17742,1738.004,1625.108,1736.8021,668.0,0.30548108,-0.4811623,0.4811623,0.4919355,0.91129035,1.3951613,32.1665,9.986136,2.4318945,-2.3292868,2.2509794,-2.6372495,7.9954257,-0.14547,1.557078,1.2764612,4436.0605,91.181404,70.14157,70.95807,58.848278,40.45582,41.61052,30.797268,31.827526,21.006422,22.041769,13.681194,14.538184,-12.88,1e+12,98.23415,47.515038,29.169252,720.8473,110.39464,5.9595547,88.6077,82.12188,98.2403,52.200176,37.533245,97.1387,112.29844,5.4092836,78.50119,17.38524,183.66086,51.8422,75.2688,278.25647,95.97506,11.327189,90.33688,584.01,228.2845,87.54963,58.035263,16.690355,62.562893,41.790295,78.86277,60.66367,63.801464,16.87662,0.7725328,231.86803,80.85934,15.587871,-19.308685,18.793741,-5.5936055,5.764943,2.42251,0.44705883,124.0,21.0,38.0,2.0,15.0,21.0,19.0,39.0,21.0,37.64193,7.0,-2.92253,456.0341,3.0,16.0,3.0,13.0,2.0,1.0,1.0,4.99,5.338,5.488,5.574,5.711,5.756,5.842,5.894,4.762,5.042,5.154,5.229,5.317,5.4,5.474,5.51,4.966,5.32,5.453,5.544,5.679,5.718,5.799,5.862,4.681,4.938,5.039,5.089,5.178,5.273,5.337,5.372,4.98,5.338,5.467,5.538,5.669,5.723,5.789,5.854,6.795,7.32,7.493,7.394,7.91,7.727,7.587,7.973,1.574,2.187,2.981,3.537,4.514,4.149,5.017,5.267,1.292,2.177,2.674,2.727,3.586,3.5,3.659,4.218,1.037,1.641,1.913,2.357,3.297,2.69,3.173,3.814,3.865,6.408,8.034,8.651,11.671,10.741,11.755,13.597,1.218,2.072,2.606,2.306,2.875,3.259,3.058,3.455,301.502,494.145,623.652,730.227,925.711,843.306,936.054,1099.69,-0.08,0.006,-0.06,0.09,0.026,-0.105,0.049,-0.145,0.114,0.19,-0.259,0.168,0.095,-0.167,0.126,-0.097,0.081,-0.207,0.271,0.0,-0.159,0.194,-0.105,0.113,0.102,-0.239,0.208,0.037,-0.147,0.157,-0.199,0.081,0.329,-0.271,0.033,0.208,-0.167,0.029,-0.051,0.005,-0.047,-0.378,0.269,0.079,-0.243,0.144,0.931,0.742,0.963,1.129,1.192,1.54,1.121,0.933,0.795,0.784,1.256,0.924,1.21,0.948,0.774,0.715,0.801,1.213,0.845,0.969,1.213,0.897,0.854,0.733,0.851,1.249,0.908,0.991,1.249,0.939,1.094,0.969,0.738,1.247,1.026,0.843,1.151,1.02,0.76,0.841,0.994,1.413,0.858,0.932,1.286,0.969,3.0,-11.7717285,0.24193548,331.16666,2.670699,1343.0,14.3519535,109448.0,0.38684526,0.10944224,0,9.0,9.0,9.0
MOL_1,CCNC(=O)[C@@H]1CSCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2ccc(-c3ccccc3)cc2)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](Cc2ccc(-c3ccccc3)cc2)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)N1,15.252485,0.012806247,-1.9014152,0.06614167,25.466103,1647.962,1537.082,1646.7843,634.0,0.30293566,-0.48122928,0.48122928,0.44915253,0.84745765,1.3135593,32.1665,9.986051,2.444287,-2.3318183,2.2618573,-2.6322658,7.9954195,-0.14481358,1.6839842,1.1304969,4233.4507,86.189835,68.07862,68.89512,56.1499,39.78658,40.941277,30.474615,31.504871,21.32485,22.360197,14.199583,15.056573,-11.58,1e+12,91.93693,43.572388,25.224277,690.1807,88.087105,0.0,82.700516,71.91806,118.5086,65.16576,17.960787,87.23764,100.43171,0.0,72.767525,5.9179063,203.92915,45.23532,53.167885,259.57623,91.18052,5.9179063,110.60518,450.0,198.18123,77.64857,69.66491,23.111176,43.81551,58.51385,87.50125,72.7964,53.167885,0.0,0.9383806,220.4949,58.815845,5.019829,-14.578685,22.388779,-4.3050165,11.520488,2.5388143,0.47058824,118.0,13.0,32.0,3.0,14.0,18.0,13.0,33.0,16.0,33.948402,8.0,1.2727,439.3724,2.0,15.0,4.0,10.0,0.0,2.0,0.0,4.946,5.302,5.458,5.54,5.654,5.704,5.761,5.802,4.732,5.026,5.138,5.21,5.286,5.364,5.424,5.447,4.921,5.283,5.422,5.509,5.62,5.665,5.728,5.768,4.658,4.93,5.029,5.075,5.159,5.247,5.294,5.324,4.934,5.298,5.433,5.503,5.613,5.667,5.715,5.758,6.75,7.274,7.426,7.346,7.828,7.657,7.537,7.864,1.389,2.003,2.836,3.257,4.061,3.843,4.07,4.631,1.061,1.89,2.424,2.326,3.127,3.102,2.97,3.493,0.878,1.478,1.746,2.055,2.865,2.398,2.779,3.214,3.198,5.632,7.332,7.448,10.185,9.586,9.526,11.368,0.978,1.724,2.351,1.937,2.484,2.861,2.409,2.772,278.802,453.155,597.239,701.538,842.073,785.583,879.899,959.959,-0.075,0.005,-0.073,0.082,0.044,-0.154,0.043,-0.142,0.095,0.196,-0.32,0.166,0.132,-0.177,0.113,-0.094,0.079,-0.257,0.254,0.032,-0.17,0.181,-0.101,0.103,0.098,-0.293,0.198,0.065,-0.134,0.143,-0.198,0.034,0.365,-0.335,0.036,0.258,-0.207,0.006,-0.029,0.04,-0.087,-0.414,0.274,0.08,-0.246,0.187,0.916,0.729,0.96,1.132,1.187,1.369,1.148,0.922,0.824,0.812,1.35,0.953,1.235,0.979,0.75,0.712,0.826,1.275,0.842,0.957,1.247,0.898,0.837,0.744,0.881,1.324,0.925,0.992,1.222,0.961,1.117,1.057,0.763,1.378,1.11,0.856,1.222,1.091,0.731,0.793,1.05,1.467,0.833,0.945,1.317,0.901,0.0,-17.413416,0.2542373,302.83334,2.566384,1335.0,13.995654,96612.0,0.39692014,0.1120315,1,7.68,7.6777806,7.6777806
