average,sample_weight,SMILES,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19
9.327902142064282,1.0345132990659367,CN(C)c1ccc2nc3c(C(=O)O)cc(=O)c(O)c-3oc2c1,-12.328550488962858,-5.56482581873313,-7.730682334780566,0.7187127543125914,6.095790538704954,1.965719064330017,4.160963501412989,5.594584459217528,1.8279295041425616,2.7556591614279906,1.0332389099411348,-2.1498451548428466,1.8370129882197066,1.2294549858476882,-0.45440220746197774,0.7404885255770796,-1.2828245281886612,-0.5877974455657884,0.9731723845540429,0.31897159007844317
3.721246399047171,1.0345132990659367,CC1=CCC(C(=O)N=C2CC=C(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c32)=CC1=NC(=O)C1=CC=C/C(=N\C(=O)/N=C2\C=CC=C(C(=O)N=C3CC(C(=O)N=C4CC=C(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c54)=CC=C3C)C2)C1,-7.610876526058478,6.880497187193176,-1.1383789294792082,-6.329138936337821,6.89573948281984,-3.527358529588742,0.503069196668031,-1.4948384478340893,-10.348362837928555,4.984904682539393,1.6071376587111679,-3.755618177402501,-1.4132808669649468,1.741343176409455,0.6884915048580598,-4.209121603131313,1.8161637254146363,1.229816820249224,-0.43573987827105315,-0.11891222502967148
5.15676722190199,1.0345132990659367,O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,-10.306175099155375,-0.30679441368559335,0.07990600166793385,-0.2843174112798932,-5.693402875119754,2.5415403115996273,2.3688240690645133,-11.151296561532453,1.9551160603126019,6.310613959280242,6.349324871682539,0.2635297881298431,1.7967544676906797,1.624408788983483,1.143625578846637,1.606054364649791,-2.267606739233629,-1.3840690752251117,-0.3114397569939747,0.08060958176535726
5.489454989793388,1.0345132990659367,C/C=C(\C)[C@H](O)[C@H](C)/C=C(C)/C=C/C/C(C)=C/Cc1[nH]c(OC)c(OC)c(=O)c1C,-14.883666336972583,-9.710425743430916,-3.1847895746158947,-2.2686504288840963,-2.8946719904678266,-2.0678839474113824,-2.8345755401733235,-2.68309802921643,1.0539838518479678,-1.8210700274625682,-0.7211477002507307,-0.8461513197624616,0.021520132845657992,-4.6854019945692205,-1.2795360181035367,-0.7509031650221812,1.602441589329165,0.7872178584037046,1.3224714031929905,0.9343893732096781
-0.5430742350335329,1.0345132990659367,C/C=C(\C)[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](C)/C=C(C)/C=C/C/C(C)=C/Cc1[nH]c(OC)c(OC)c(=O)c1C,-14.71813220577727,-12.655320228966968,1.4514301262425506,-0.03539884348079278,-1.5361871342471027,0.8628999684747396,-2.65239476080254,2.0183165325547945,-1.112144182326569,0.08020227862860532,-1.9411374007399447,1.888348648458727,-1.1266455061801601,1.7765115768709672,0.5875208932476538,-0.7319748809596711,-0.46378882588720427,-2.0388122339991486,-0.8895264821319181,-1.1876541607952646
-0.1376705372367546,1.0345132990659367,COc1[nH]c(C/C=C(\C)C/C=C/C(C)=C/[C@@H](C)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)/C(C)=C/CO)c(C)c(=O)c1OC,-14.811337475093259,-12.216175248817834,3.009869564324324,0.6464392788627805,-0.6201706543898181,1.3525354607839344,-1.647856271870056,1.1120800104053696,-1.443009420009087,1.3449990216592087,-0.9000428806294231,2.238950127745605,-1.2680005243360177,2.0051704181053385,1.6329470367206942,1.433289850303718,3.066739813475607,-3.259087737737897,0.14508027275731167,-0.7515558555442421
0.4260845595784488,1.0345132990659367,C/C=C(\C)[C@H](O[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)[C@H](C)/C=C(C)/C=C/C/C(C)=C/Cc1[nH]c(OC)c(OC)c(=O)c1C,-12.0271494982282,-12.430482548964218,4.9973673433077845,1.2894096339532155,0.6005970411872038,0.7282823190240424,-2.9108006785364564,2.4718667644929835,-3.907763454872849,-0.5685366218215361,-1.8192475637613843,3.104913162611512,-1.3777289466793816,1.2233407441887696,0.756546547207097,0.5436875976384801,-3.017365628228561,1.7406257165629009,-1.1771780072454525,0.23971268112793215
5.141462802430361,1.0345132990659367,C/C=C(\C)C(=O)[C@H](C)/C=C(C)/C=C/C/C(C)=C/Cc1[nH]c(OC)c(OC)c(=O)c1C,-14.672160790126997,-8.843238260275642,-4.3580555303794215,-2.045568072514565,-2.1891542415659617,-2.390682557418851,-2.8290143001519517,-3.8910268343917673,0.7294494240133406,-1.985029767634449,-0.24779405853289274,-1.696591826733363,0.2664279971267012,-4.8162672985439805,-0.9787962461236194,-0.6855899794883523,0.22137952127331623,3.1042684815425865,0.9182317461236507,0.015207535987243549
5.013228265733755,1.0345132990659367,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(N)=O)C(C)C)[C@@H](C)O)C(C)C)[C@@H](C)O,5.40136159299771,-0.7227158086766288,-4.7540949487279365,3.916725793018143,-5.153551410948112,-1.0048460960923693,2.4890456040685525,0.766055567770781,-2.750665693622884,-0.8136952504891891,0.2975870666629084,0.24771484891142745,-1.5136959361315194,0.13371992644618796,-1.9371314885669368,0.4467656788477989,0.4586287966617046,0.5086016288230112,-1.4853573590304021,-0.8969908568450184
5.154901959985743,1.0345132990659367,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(N)=O)C(C)C)[C@@H](C)O)C(C)C)[C@@H](C)O,4.79770170106642,-1.0135362949069455,-4.7881364281961565,4.227232001382095,-5.736480656139577,-1.3818122759193912,3.1954014284639327,0.7636674783307263,-2.1958593329674216,-0.9448461510766496,-0.09670965854695723,0.012506549333482128,1.1411403864686276,0.028989951752452437,-1.4317658800650481,-0.06351507695149111,1.9084568338060466,-0.2193861664032771,-0.7253208367176747,-2.032910259085901
