average,sample_weight,SMILES,FP_Morgan1024_r2_36,FP_AtomPair1024_825,FP_MACCS_115,RDKit2D_VSA_EState8,FP_AtomPair1024_899,FP_Morgan1024_r2_798,FP_Morgan1024_r2_828,AC2D_137,RDKit2D_BCUT2D_LOGPLOW,RDKit2D_BCUT2D_MWLOW,RDKit2D_VSA_EState4,AC2D_101,RDKit2D_BCUT2D_CHGLO,FP_MACCS_149,FP_AtomPair1024_455,AC2D_118,RDKit2D_SlogP_VSA5,FP_AtomPair1024_306,AC2D_146,Sol_ESOL_LogS,FP_TopoTorsion1024_472,FP_AtomPair1024_863,FP_Morgan1024_r2_1005,FP_AtomPair1024_1014,FP_AtomPair1024_911,AC2D_149,RDKit2D_MolLogP,RDKit2D_EState_VSA10,FP_TopoTorsion1024_779,AC2D_166,AC2D_98,FP_Morgan1024_r2_250,FP_TopoTorsion1024_169,FP_AtomPair1024_79,FP_Morgan1024_r2_634,RDKit2D_FractionCSP3,FP_TopoTorsion1024_412,FP_MACCS_116
6.950781977329818,1.1077944442343703,CN1C(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@@H]1Cc1ccc(O)cc1,-0.5,-0.5,-1.0,-0.3634465808082965,-1.0,-1.0,1.0,-0.030612244897959173,0.5706622557327292,0.9255712640783853,0.21009233974357078,0.25000000000000056,0.20632175812088505,0.0,0.0,-0.16058394160583955,-0.4750630559420788,0.0,0.0,0.09475458381566237,0.0,0.0,0.0,-1.0,0.0,-0.9315789473684215,-0.02940995886289668,-0.009946402049671985,1.0,0.13559322033897628,-0.43750000000000017,-1.0,0.0,-1.0,0.0,-0.141722336765177,0.0,0.0
7.326979092871104,1.1077944442343703,CC(=O)N[C@H]1CSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC1=O,-0.5,-0.5,-1.0,-0.1006893405537008,0.0,-1.0,1.0,-0.2755102040816326,0.6364173861731809,0.9977582147860008,0.16925007591595007,0.08333333333333352,0.979266010005965,0.0,0.0,-0.24817518248175202,-0.4405562920087051,0.0,0.748251748251748,0.745095310838755,0.0,0.0,0.0,-1.0,0.0,-0.8263157894736846,-0.7831399275495792,1.0252613436489837,1.0,-0.10169491525424162,0.12500000000000006,-1.0,0.0,0.0,0.0,-0.2513731260196328,0.0,-1.0
6.987162775294828,1.1077944442343703,CC(=O)N[C@H]1CSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)CNC(=O)[C@H](CCCCN)NC1=O,-0.5,-0.5,-1.0,-0.0733292758493536,0.0,-1.0,1.0,-0.6428571428571428,0.6364638496627375,1.0064222134756569,0.25227333608815755,0.6666666666666682,0.9792693841296438,0.0,0.0,-0.8321167883211678,-0.4405562920087051,0.0,0.818181818181818,0.9181926757131643,0.0,0.0,0.0,-1.0,0.0,-0.7736842105263161,-0.8685454657088473,0.5512851066034862,1.0,1.9661016949152579,0.6249999999999999,-1.0,0.0,0.0,0.0,-0.2513731260196328,0.0,-1.0
5.97061622231479,1.1077944442343703,CC(=O)N[C@H]1CSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC1=O,-0.5,-0.5,-1.0,-0.08082981001107194,0.0,-1.0,1.0,-0.6428571428571428,0.6365056668033652,1.0096492107302466,0.2529358506194582,0.6666666666666682,0.9792744453151582,0.0,0.0,-0.8321167883211678,-0.4405562920087051,0.0,0.818181818181818,0.9181926757131643,0.0,0.0,0.0,-1.0,0.0,-0.7736842105263161,-0.8685454657088473,0.5512851066034862,1.0,1.9661016949152579,0.6249999999999999,-1.0,0.0,0.0,0.0,-0.2513731260196328,0.0,-1.0
7.200659450546418,1.1077944442343703,CC1(c2cccc3ccccc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC1=O,0.5,0.5,-1.0,-0.01090081499713367,0.0,-1.0,1.0,-0.5612244897959183,0.08706096358308336,-1.8618894068926044,-0.14069126295394052,0.41666666666666763,0.5445354801757607,0.0,0.0,-0.6277372262773719,0.0,0.0,-0.15384615384615397,-0.16408240587998515,0.0,0.0,0.0,0.0,0.0,-0.7842105263157898,0.2743292196230122,-0.44029484135584285,0.0,2.2372881355932255,0.4374999999999998,0.0,0.0,0.0,0.0,-0.5315930301827827,0.0,-1.0
4.532465886150408,1.1077944442343703,NCCCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)CNC1=O,-0.5,-0.5,-1.0,-0.3424175836680204,-1.0,-1.0,1.0,-0.6428571428571428,0.6445949603376097,0.6966304770333059,0.4263920051198007,1.5000000000000036,0.9790568143380076,0.0,0.0,-0.5401459854014595,-0.4750630559420788,0.0,0.10489510489510576,-0.3752197273805343,0.0,0.0,0.0,-1.0,0.0,-0.6157894736842107,0.4030822128077609,0.03368128773265738,1.0,2.4406779661017013,0.4374999999999998,-1.0,0.0,0.0,0.0,-0.7339743772066087,0.0,-1.0
5.655411257421286,1.1077944442343703,NCCCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)C(CCc2ccccc2)NC(=O)CNC1=O,-0.5,-0.5,-1.0,-0.33279931594965784,-1.0,-1.0,1.0,-0.2755102040816326,0.679577321635389,1.0440509572202732,0.2231806311170005,1.083333333333336,0.9791529768627968,0.0,0.0,-0.9197080291970803,-0.034507175615258796,0.0,0.28671328671328616,0.7528750877601526,0.0,0.0,0.0,-1.0,0.0,-0.7000000000000003,-0.380917296002947,1.5864926363881475,1.0,2.5423728813559427,-0.3125000000000001,-1.0,0.0,-1.0,0.0,0.0873996844669091,0.0,-1.0
7.853871964321762,1.1077944442343703,C[C@@]12CCCN1C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1c[nH]c3ccc(F)cc13)NC(=O)[C@H](Cc1c[nH]c3ccc(F)cc13)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc1cccc(c1)CSC[C@@H](C(N)=O)NC2=O,0.5,0.5,0.0,0.005832442858200772,0.0,0.0,0.0,0.07142857142857142,-0.4914698841084297,-0.0859652511068581,-0.01303775140560025,-0.9166666666666665,-0.1088281415411135,0.0,1.0,-0.014598540145985413,0.0,1.0,-0.04195804195804199,0.0627618542024292,0.0,0.0,0.0,0.0,1.0,0.2157894736842102,0.0,-0.009946402049671985,0.0,0.13559322033897628,-0.43750000000000017,0.0,0.0,0.0,-1.0,-0.141722336765177,0.0,0.0
4.968995718636463,1.1077944442343703,CN1CC(=O)N[C@H](C(N)=O)CSCc2cccc(c2)CSCCC(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccc(F)cc23)C(=O)N[C@@H](Cc2c[nH]c3ccc(F)cc23)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N[C@@H](Cc2ccc(O)cc2)C1=O,-0.5,-0.5,0.0,-0.5355605598887014,-1.0,-1.0,0.0,-0.6632653061224489,0.8536202608692703,1.0023151260606835,0.17701247226343675,1.6666666666666705,1.412614836190519,0.0,0.0,-0.18978102189781038,-1.3561751596639575,0.0,0.17482517482517573,0.8577204055840995,0.0,0.0,0.0,-1.0,0.0,-1.7000000000000002,-0.5665254497451954,2.0604690893476394,0.0,0.169491525423726,-0.6874999999999994,-1.0,0.0,-1.0,-1.0,-0.6844402328032417,0.0,-1.0
7.170696227168975,1.1077944442343703,NCCCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC1=O,-0.5,-0.5,-1.0,-0.3650504201468706,-1.0,-1.0,1.0,-0.4183673469387754,-1.2810239623831334,0.25398424149674703,0.19443281902697523,0.25000000000000056,-0.9121057652807716,0.0,0.0,-0.04379562043795624,-0.9156189362688998,0.0,0.13286713286713375,0.7089660125671076,0.0,0.0,0.0,-1.0,0.0,-0.6894736842105266,-0.4790323570946151,1.0252613436489837,1.0,0.03389830508474219,-0.7499999999999994,-1.0,0.0,-1.0,-1.0,-0.4981342826133739,0.0,-1.0
