average,sample_weight,SMILES,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13
6.958607314841775,1.1077944442343703,NCCCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC1=O,3.701431213085292,-3.1553332458414607,-1.3403794172063812,0.8623123885657054,-1.3068632916668987,-1.4357351209349554,0.5712309735932637,-1.891123916449313,0.506924745872966,-0.34559880751653016,0.2449245894802529,-0.07635326836943007,0.18667570423202606,0.16929987953150957
6.406713932979542,1.1077944442343703,C[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC1=O,1.6427098837938545,-2.194542796407368,-2.6291504134972934,-2.5203964891163455,2.4149253960542554,-1.7515795830322825,-2.909109529907133,0.5802032265779817,0.5840484978290678,3.13396914830478,-1.50015377651594,-0.008174532969717357,-0.054137657792012725,-0.5461800584776131
6.18309616062434,1.1077944442343703,C[C@@H]1NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC1=O,-5.137056314522781,-6.720638121417783,-2.5219404812995907,0.014362586165726995,3.012771245126767,-1.044974006119412,-1.2702713206140381,1.8454132900574207,-0.4886136164373196,-1.3403904522546801,0.8014444120061104,3.283496070855091,0.27324935161357866,0.35050441090600715
6.369572124974976,1.1077944442343703,C[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC1=O,-1.1590709632142546,-2.0543288260324,-1.8280170429042304,-1.026045339638422,-3.065296044297631,-2.984831226792518,1.7278541965467165,3.6666654109953276,-0.39826554587265894,0.08959568348662382,-0.37400874566305625,-2.4828879423935994,0.29338625979412675,0.01461146106223954
6.279840696594043,1.1077944442343703,C[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC1=O,-2.679851428661441,-3.885354659364189,-4.268711165634714,1.4077309019129025,2.6590894354453143,-2.064916482201133,-0.29316374531221956,0.032618457741534934,-2.7509928690376046,-0.5570059045281247,1.181758854178413,0.23550825122663402,-0.6496360225441474,-0.063006227829306
4.78962796597471,1.1077944442343703,NCCCC[C@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC1=O,3.701431213085286,-3.155333245841457,-1.3403794172063819,0.8623123885657068,-1.3068632916668983,-1.435735120934956,0.5712309735932667,-1.8911239164493157,0.5069247458729661,-0.34559880751653166,0.24492458948025245,-0.07635326836943186,0.186675704232025,0.16929987953151182
5.6965879294032575,1.1077944442343703,NCCCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC1=O,3.701431213085286,-3.155333245841457,-1.3403794172063812,0.8623123885657045,-1.3068632916669,-1.4357351209349554,0.5712309735932657,-1.8911239164493163,0.506924745872967,-0.34559880751653066,0.24492458948025092,-0.07635326836942974,0.1866757042320249,0.16929987953151013
6.465973893943865,1.1077944442343703,CN1C(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@@H]1CCCCN,3.03594275538529,-0.9431994560484391,-1.331082640066769,1.3520130515843922,-0.4744838986371245,-0.4891256885881449,0.6470159089296958,1.290918939435153,-0.9340569591150153,0.9915973787861626,0.015128367803267054,0.5105099574155042,-0.8500554298094162,0.9822686523745556
5.388276691992658,1.1077944442343703,CN1CC(=O)N[C@@H](Cc2c[nH]c3ccc(F)cc23)C(=O)N[C@@H](Cc2c[nH]c3ccc(F)cc23)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C(N)=O)CSCc2cccc(c2)CSCCC(=O)N[C@@H](CCCCN)C1=O,2.7778746083238035,-0.6044884771721595,-1.0743380440318802,1.1897499040856547,-0.5169930129314677,-0.4576950912695437,0.6568376818616127,1.3368042555837447,-1.1829576040726457,1.4133708287961368,0.13617720084615823,1.057366952642611,-0.7743597840767946,0.14196607997440644
4.890522699041265,1.1077944442343703,CN1C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]1CC(=O)O,3.409396936632998,-1.0061104452103509,-1.1477624989543873,4.001767361625539,-2.4461988323633794,2.085803099209317,-0.38561186783858203,-1.3863360965568388,1.0735099394993333,0.16945436564691707,-0.16726624437748377,0.8968198435525266,-0.6922539512695421,-1.187759831392944
