SMILES,IC50,IC50-min,IC50-max
CC(C)NC(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2n1,>300,300.0,600.0
CNC(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2n1,>300,300.0,600.0
CN(C)C(=O)c1cccc2c(c(C)n(C\C(F)=C\CN)c12)-c1cccc(c1)S(=O)(=O)N(C)C,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2c(cccc12)C(O)=O,>300,300.0,600.0
COc1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2c1,>300,300.0,600.0
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(C)(=O)=O)c2c1,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)C#N,>300,300.0,600.0
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(N)(=O)=O)c2c1,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)-c1ncon1,>300,300.0,600.0
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)C(F)(F)F)c2c1,>300,300.0,600.0
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)C(F)(F)F)c2c1,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)S(=O)(=O)N(C)C,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)C(F)F,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(O)nc12,>300,300.0,600.0
COc1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2n1,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(Cl)cc12,>300,300.0,600.0
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccccc12,>300,300.0,600.0
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(Cl)cc12,>300,300.0,600.0
Cc1c(-c2cncc(c2)S(C)(=O)=O)c2cc(Cl)ccc2n1C\C(F)=C\CN,>300,300.0,600.0
CN(C)S(=O)(=O)c1cncc(c1)-c1cn(C\C(F)=C\CN)c2ccc(Cl)cc12,>300,300.0,600.0
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2cc(Cl)ccc12,>300,300.0,600.0
COc1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(SC)c3)c2n1,>300,300.0,600.0
COc1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(C)(=O)=O)c2n1,>300,300.0,600.0
CNS(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(Cl)cc12,>300,300.0,600.0
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(F)cc12,>300,300.0,600.0
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2cc(Cl)cnc12,>300,300.0,600.0
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2ncc(Cl)cc12,>300,300.0,600.0
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2c(Cl)cccc12,>300,300.0,600.0
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2cccc(Cl)c12,>300,300.0,600.0
Cc1c(-c2ccncc2)c2cc(Cl)ccc2n1C\C(F)=C\CN,>300,300.0,600.0
Cc1c(-c2cccnc2)c2cc(Cl)ccc2n1C\C(F)=C\CN,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(n1)-c1c(C)n(C\C(F)=C\CN)c2ccc(Cl)cc12,>300,300.0,600.0
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)C1CC1,>300,300.0,600.0
Cc1c(-c2cncnc2)c2cc(Cl)ccc2n1C\C(F)=C\CN,>300,300.0,600.0
CN(C)S(=O)(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3ccncc3)c2c1,>300,300.0,600.0
CN(C)S(=O)(=O)c1ccc(C)c(c1)-c1c(C)n(C\C(F)=C\CN)c2c(F)cc(Cl)cc12,>300,300.0,600.0
Cc1c(-c2cncc(c2)S(N)(=O)=O)c2cc(Cl)ccc2n1C\C(F)=C\CN,>300,300.0,600.0
Cc1c(-c2ccncc2)c2cc(ccc2n1C\C(F)=C\CN)S(N)(=O)=O,>300,300.0,600.0
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(OC(F)(F)F)cc12,>300,300.0,600.0
CN(C)S(=O)(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3ccccc3)c2c1,>300,300.0,600.0
Cc1c(-c2ccccc2)c2cc(ccc2n1C\C(F)=C\CN)S(C)(=O)=O,>300,300.0,600.0
Cc1c(-c2ccncc2)c2cc(ccc2n1C\C(F)=C\CN)S(C)(=O)=O,>300,300.0,600.0
Cc1c(-c2cc(C)nc(C)c2)c2cc(ccc2n1C\C(F)=C\CN)S(C)(=O)=O,>300,300.0,600.0
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cc(C)nc(C)c3)c2c1,>300,300.0,600.0
Cc1c(-c2ccncc2)c2cc(ccc2n1C\C(F)=C\CN)C(=O)NC(C)(C)C,>300,300.0,600.0
Cc1c(-c2ccc3OCOc3c2)c2cc(ccc2n1C\C(F)=C\CN)S(C)(=O)=O,>300,300.0,600.0
Cc1c(-c2ccc(F)cc2)c2cc(ccc2n1C\C(F)=C\CN)S(C)(=O)=O,>300,300.0,600.0
Cc1c(-c2ccnc(C)c2)c2cc(ccc2n1C\C(F)=C\CN)S(C)(=O)=O,>300,300.0,600.0
Cc1c(-c2ccc(F)cc2)c2cc(ccc2n1C\C(F)=C\CN)S(N)(=O)=O,>300,300.0,600.0
CN(C)S(=O)(=O)c1cncc(c1)-c1c(Cl)n(C\C(F)=C\CN)c2ccccc12,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)S(C)(=O)=O,>300,300.0,600.0
COc1cc(ccn1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)S(C)(=O)=O,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(Cl)n(C\C(F)=C\CN)c2cccnc12,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(Cl)n(C\C(F)=C\CN)c2ccc(cc12)S(C)(=O)=O,>300,300.0,600.0
Cc1c(-c2cc(C)nc(C)c2)c2cc(ccc2n1C\C(F)=C\CN)[N+]([O-])=O,>300,300.0,600.0
Cc1c(-c2cc(C)nc(C)c2)c2cc(NS(C)(=O)=O)ccc2n1C\C(F)=C\CN,>300,300.0,600.0
COCc1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2n1,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(NS(C)(=O)=O)cc12,>300,300.0,600.0
CN(C)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2n1,>300,300.0,600.0
CC(C)S(=O)(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2c1,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(C)nc12,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2cc(F)cnc12,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(F)nc12,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(nc12)C(F)(F)F,>300,300.0,600.0
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(nc12)C(C)(F)F,>300,300.0,600.0
Cc1c(-c2cccc(c2)S(C)(=O)=O)c2nc(C)ccc2n1C\C(F)=C\CN,>300,300.0,600.0
CCS(=O)(=O)c1cccc(c1)-c1c(C(C)C)n(C\C(F)=C\CN)c2ccc(C)nc12,>300,300.0,600.0
CCS(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(C)nc12,>300,300.0,600.0
Cc1c(-c2cccc(c2)S(C)(=O)=O)c2nc(CF)ccc2n1C\C(F)=C\CN,>300,300.0,600.0
Cc1c(-c2cccc(c2)S(C)(=O)=O)c2nc(ccc2n1C\C(F)=C\CN)C(C)(C)O,>300,300.0,600.0
CC(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(nc12)C(C)(C)O,>300,300.0,600.0
CN(C)S(=O)(=O)c1ccc(Cc2c(C)n(C\C(F)=C\CN)c3ccc(cc23)C(O)=O)cc1,>300000,300000.0,600000.0
COC(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(Cc3ccc(cc3)S(=O)(=O)N(C)C)c2c1,>300000,300000.0,600000.0
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(Cc3ccc(cc3)S(=O)(=O)N(C)C)c2c1,>300000,300000.0,600000.0
CN(C)S(=O)(=O)c1ccc(Cc2c(C)n(C\C(F)=C\CN)c3ccc(cc23)C(N)=O)cc1,>300000,300000.0,600000.0
CN(C)C(=O)c1c(Cc2ccc(cc2)S(=O)(=O)N(C)C)c2ccccc2n1C\C(F)=C\CN,>300000,300000.0,600000.0
CN(C)S(=O)(=O)c1ccc(Cc2c(C)n(C\C(F)=C\CN)c3ccc(cc23)S(=O)(=O)N(C)C)cc1,>300000,300000.0,600000.0
CN(C)S(=O)(=O)c1cccc(Cc2c(C)n(C\C(F)=C\CN)c3ccc(cc23)S(=O)(=O)N(C)C)c1,>300000,300000.0,600000.0
CN(C)S(=O)(=O)c1ccc(Cc2c(C)n(C\C(F)=C\CN)c3cccnc23)cc1,>300000,300000.0,600000.0
CN(C)S(=O)(=O)c1ccc(Cc2c(C)n(C\C(F)=C\CN)c3ccc(C)nc23)cc1,>300000,300000.0,600000.0
Cc1c(Cc2ccc(cc2)S(C)(=O)=O)c2ncccc2n1C\C(F)=C\CN,>300000,300000.0,600000.0
CN(C)S(=O)(=O)c1ccc(Cc2c(C)n(C\C(F)=C\CN)c3cc(C)cnc23)cc1,>300000,300000.0,600000.0
Cc1c(Cc2ccc(cc2)S(C)(=O)=O)c2nc(C)ccc2n1C\C(F)=C\CN,>300000,300000.0,600000.0
Cc1c(Cc2ccc(nc2)S(C)(=O)=O)c2nc(C)ccc2n1C\C(F)=C\CN,>300000,300000.0,600000.0
Cc1c(Cc2ccc(cn2)S(C)(=O)=O)c2nc(C)ccc2n1C\C(F)=C\CN,>300000,300000.0,600000.0
CN(C)S(=O)(=O)c1ccc(Cc2c(C)n(C\C(F)=C\CN)c3ccc(C)nc23)nc1,>300000,300000.0,600000.0
CN(C)S(=O)(=O)c1ccc(Cc2c(C)n(C\C(F)=C\CN)c3ccc(C)nc23)cn1,>300000,300000.0,600000.0
Cc1c(Cc2cccc(c2)S(C)(=O)=O)c2nc(C)ccc2n1C\C(F)=C\CN,>300000,300000.0,600000.0
CN(C)S(=O)(=O)c1cccc(Cc2c(C)n(C\C(F)=C\CN)c3ccc(C)nc23)c1,>300000,300000.0,600000.0
CN(C)S(=O)(=O)c1ccc(Cc2c(C)n(C\C(F)=C\CN)c3cc(C)c(O)nc23)cc1,>300000,300000.0,600000.0
Cc1c(Cc2ccc(cc2Cl)S(C)(=O)=O)c2ncccc2n1C\C(F)=C\CN,>300000,300000.0,600000.0
C\C=C(/F)Cn1c(C)c(Oc2ccc(cc2)S(=O)(=O)N(C)C)c2ccccc12,>300000,300000.0,600000.0
CN(C)S(=O)(=O)c1ccc(Cc2c(C)n(C\C(F)=C\CN)c3ccc(F)nc23)cc1,>300000,300000.0,600000.0
CN(C)S(=O)(=O)c1ccc(Cc2c(C)n(C\C(F)=C\CN)c3cc(F)cnc23)cc1,>300000,300000.0,600000.0
CC(C)(O)c1c(Cc2ccc(cc2)S(C)(=O)=O)c2ncccc2n1C\C(F)=C\CN,>300000,300000.0,600000.0
CN(C)S(=O)(=O)c1ccc(Cc2c(C)n(C\C(F)=C\CN)c3ccccc23)cc1,>300000,300000.0,600000.0
Cc1c(Cc2ccc(nc2)S(C)(=O)=O)c2nc(ccc2n1C\C(F)=C\CN)C1CC1,>300000,300000.0,600000.0
CN(C)S(=O)(=O)c1ccc(Cc2c(C)n(C\C(F)=C\CN)c3ccc(nc23)C(C)(C)O)cc1,>300000,300000.0,600000.0
CC(O)c1c(Cc2ccc(cc2)S(=O)(=O)N(C)C)c2ncccc2n1C\C(F)=C\CN,>300000,300000.0,600000.0
Cc1c(Cc2ccc(nc2)S(C)(=O)=O)c2nc(ccc2n1C\C(F)=C\CN)C(C)(F)F,>300000,300000.0,600000.0
Cc1c(Cc2ccc(nc2)S(C)(=O)=O)c2nc(ccc2n1C\C(F)=C\CN)C(F)(F)F,>300000,300000.0,600000.0
CN(C)S(=O)(=O)c1ccc(Cc2c(C)n(C\C(F)=C\CN)c3ccncc23)cc1,>300000,300000.0,600000.0
