Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Small
Family: nn
Endpoint: pIC50
Species: all_SP
Total Features: 3599
Top Features Count: 216
Cumulative Importance: 0.1994
================================================================================

                        feature  importance  importance_normalized  cumulative
       FP_MorganFeat1024_r2_379    0.003368               0.000860    0.115049
           FP_Morgan1024_r2_202    0.003365               0.000860    0.115909
           FP_Morgan1024_r2_698    0.003361               0.000859    0.116767
         FP_TopoTorsion1024_512    0.003323               0.000849    0.117616
         FP_TopoTorsion1024_511    0.003316               0.000847    0.118463
                 FP_RDKit512_17    0.003309               0.000845    0.119308
            FP_AtomPair1024_768    0.003302               0.000843    0.120152
           FP_Morgan1024_r2_406    0.003293               0.000841    0.120993
               RDKit2D_fr_Ar_NH    0.003291               0.000841    0.121833
                 FP_RDKit512_78    0.003290               0.000840    0.122674
         FP_TopoTorsion1024_432    0.003268               0.000835    0.123508
                 FP_RDKit512_56    0.003268               0.000835    0.124343
                       AC2D_161    0.003258               0.000832    0.125175
                FP_RDKit512_311    0.003244               0.000828    0.126004
                FP_RDKit512_318    0.003237               0.000827    0.126830
            FP_AtomPair1024_926    0.003235               0.000826    0.127657
           FP_Morgan1024_r2_829    0.003235               0.000826    0.128483
           FP_Morgan1024_r2_828    0.003229               0.000825    0.129307
           FP_Morgan1024_r2_238    0.003219               0.000822    0.130130
             FP_AtomPair1024_48    0.003217               0.000822    0.130951
                 FP_RDKit512_48    0.003210               0.000820    0.131771
                    FP_MACCS_72    0.003203               0.000818    0.132589
                FP_RDKit512_407    0.003202               0.000818    0.133407
                   FP_MACCS_142    0.003196               0.000816    0.134223
                FP_RDKit512_422    0.003195               0.000816    0.135039
       FP_MorganFeat1024_r2_355    0.003184               0.000813    0.135852
       FP_MorganFeat1024_r2_454    0.003182               0.000813    0.136665
            FP_AtomPair1024_215    0.003179               0.000812    0.137477
                FP_RDKit512_257    0.003176               0.000811    0.138288
           FP_Morgan1024_r2_393    0.003156               0.000806    0.139094
                 FP_RDKit512_66    0.003155               0.000806    0.139900
            FP_AtomPair1024_916    0.003152               0.000805    0.140705
           FP_Morgan1024_r2_545    0.003148               0.000804    0.141509
                  Dock_Center_Z    0.003136               0.000801    0.142310
            FP_AtomPair1024_717    0.003117               0.000796    0.143106
       FP_MorganFeat1024_r2_216    0.003111               0.000795    0.143901
                FP_RDKit512_172    0.003105               0.000793    0.144694
                FP_RDKit512_443    0.003095               0.000790    0.145484
             FP_AtomPair1024_83    0.003083               0.000787    0.146272
         FP_TopoTorsion1024_272    0.003073               0.000785    0.147057
            FP_AtomPair1024_678    0.003071               0.000784    0.147841
                FP_RDKit512_283    0.003071               0.000784    0.148625
                FP_RDKit512_229    0.003069               0.000784    0.149409
            FP_AtomPair1024_286    0.003059               0.000781    0.150190
                FP_RDKit512_221    0.003057               0.000781    0.150971
                 FP_RDKit512_74    0.003057               0.000781    0.151752
           FP_Morgan1024_r2_875    0.003050               0.000779    0.152531
           FP_Morgan1024_r2_878    0.003043               0.000777    0.153308
          FP_TopoTorsion1024_96    0.003042               0.000777    0.154085
                FP_RDKit512_111    0.003034               0.000775    0.154860
           FP_Morgan1024_r2_389    0.003031               0.000774    0.155634
         FP_TopoTorsion1024_455    0.003023               0.000772    0.156407
                       AC2D_176    0.003021               0.000772    0.157178
             FP_Morgan1024_r2_4    0.003014               0.000770    0.157948
                 FP_RDKit512_37    0.003007               0.000768    0.158716
                        AC3D_75    0.003003               0.000767    0.159483
           FP_Morgan1024_r2_631    0.003002               0.000767    0.160250
         FP_TopoTorsion1024_673    0.002997               0.000765    0.161015
            FP_AtomPair1024_264    0.002994               0.000765    0.161780
            FP_AtomPair1024_641    0.002993               0.000764    0.162544
                         RDF_92    0.002987               0.000763    0.163307
                FP_RDKit512_475    0.002983               0.000762    0.164069
                FP_RDKit512_244    0.002981               0.000761    0.164831
            FP_AtomPair1024_594    0.002977               0.000760    0.165591
         FP_TopoTorsion1024_283    0.002975               0.000760    0.166351
                   FP_MACCS_124    0.002968               0.000758    0.167109
       FP_MorganFeat1024_r2_925    0.002967               0.000758    0.167867
            FP_AtomPair1024_132    0.002967               0.000758    0.168624
                     FP_MACCS_8    0.002965               0.000757    0.169382
                       AC2D_101    0.002956               0.000755    0.170137
                FP_RDKit512_493    0.002953               0.000754    0.170891
                FP_RDKit512_505    0.002946               0.000752    0.171643
            FP_AtomPair1024_256    0.002946               0.000752    0.172396
            FP_AtomPair1024_425    0.002941               0.000751    0.173147
         FP_TopoTorsion1024_345    0.002940               0.000751    0.173898
            FP_AtomPair1024_936    0.002936               0.000750    0.174648
            FP_AtomPair1024_985    0.002924               0.000747    0.175395
       FP_MorganFeat1024_r2_123    0.002923               0.000747    0.176141
           FP_Morgan1024_r2_998    0.002917               0.000745    0.176886
           FP_Morgan1024_r2_361    0.002910               0.000743    0.177630
                FP_RDKit512_382    0.002904               0.000742    0.178371
         FP_TopoTorsion1024_148    0.002898               0.000740    0.179112
            FP_AtomPair1024_893    0.002893               0.000739    0.179850
                        AC2D_49    0.002889               0.000738    0.180588
       FP_MorganFeat1024_r2_965    0.002884               0.000737    0.181325
           FP_Morgan1024_r2_448    0.002881               0.000736    0.182061
            FP_AtomPair1024_185    0.002878               0.000735    0.182796
         FP_TopoTorsion1024_288    0.002872               0.000734    0.183530
       FP_MorganFeat1024_r2_525    0.002871               0.000733    0.184263
                         RDF_20    0.002870               0.000733    0.184996
RDKit2D_NumAromaticHeterocycles    0.002866               0.000732    0.185728
           FP_Morgan1024_r2_340    0.002863               0.000731    0.186459
         FP_TopoTorsion1024_448    0.002859               0.000730    0.187189
                FP_RDKit512_100    0.002854               0.000729    0.187918
         FP_MorganFeat1024_r2_5    0.002848               0.000727    0.188646
         FP_TopoTorsion1024_944    0.002848               0.000727    0.189373
                FP_RDKit512_491    0.002845               0.000727    0.190100
                FP_RDKit512_141    0.002843               0.000726    0.190826
                       AC2D_158    0.002839               0.000725    0.191551
           FP_Morgan1024_r2_119    0.002827               0.000722    0.192273
         FP_TopoTorsion1024_300    0.002822               0.000721    0.192994
        Flex_Rotatable_Fraction    0.002813               0.000718    0.193712
           FP_Morgan1024_r2_174    0.002812               0.000718    0.194430
                FP_RDKit512_442    0.002804               0.000716    0.195147
                          RDF_2    0.002798               0.000715    0.195861
       FP_MorganFeat1024_r2_459    0.002797               0.000714    0.196576
           FP_Morgan1024_r2_484    0.002794               0.000713    0.197289
                FP_RDKit512_224    0.002790               0.000713    0.198002
            FP_AtomPair1024_969    0.002777               0.000709    0.198711
             FP_AtomPair1024_29    0.002770               0.000707    0.199419
