average,sample_weight,SMILES,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16
5.849485002168009,0.7180566294860651,COc1cccc(C2(C(=O)N(C)S(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)CCN(c3ncccn3)CC2)c1,-4.180283499501926,9.07306666139344,9.52032958031628,-2.5157229598929436,3.553867804534436,34.39843163789968,4.867748723265895,-25.40144073306692,9.242553709774995,-26.12574224675472,4.630919253873539,-15.333228094142617,-18.761019434246606,-5.227692765207348,0.13898646016650015,6.363283807106242,-1.9307603361434686
7.744727494896693,2.8796224700928965,COc1cccc(C2(CNC(=O)Nc3c(C(C)C)cc(N)cc3C(C)C)CCN(c3ccccc3OCCCO)CC2)c1,61.36598118738099,20.72519627625893,-48.67273262625952,-6.852163750891921,-19.385500697129388,-0.5970680528390147,19.34111444399597,0.37081357874886844,14.828984630331524,0.5867366392857242,-12.359546134382205,-2.4116542397989402,0.6268954400061916,-0.7084225325341293,-1.48044833315965,-5.194723491366663,1.7821316733182817
5.849485002168009,0.7180566294860651,COc1cccc(C2(C(=O)Nc3c(C(C)C)cccc3C(C)C)CCN(c3ccccc3OC)CC2)c1,17.117178214084138,-27.582029476030332,-38.96635460526194,-16.92513235711074,35.47924917155668,17.209480390124707,-22.676732395851744,-17.5728762693081,-10.412766997049813,11.802158054578864,6.739896156074983,8.07369324520426,6.575161281567137,6.774393423562436,1.8255355176464605,6.271495689841577,1.2934899227474355
5.849485002168009,0.7180566294860651,COc1cccc(C2(C(=O)NS(=O)(=O)Nc3c(C(C)C)cccc3C(C)C)CCN(c3ccccc3OC)CC2)c1,15.309810975261493,6.1719564478817786,-0.017885347913969438,-20.610972847995484,15.500020941795714,0.8479124545077675,11.381255586891886,39.08823875454306,-19.768716386540625,-11.620391412017348,19.609269822638563,-3.0722239530062905,-12.872094551755126,-0.8082963874023342,9.302335986488066,0.27856350447697237,-4.353929868207717
5.849485002168009,0.7180566294860651,COc1cccc(C2(C(=O)NS(=O)(=O)Oc3ccccc3)CCN(c3ccccc3OC)CC2)c1,-3.203975084826741,-38.03887267323188,3.2988797803531273,-3.9969745640286956,1.699884188612559,-6.710584823840129,0.4978007180444894,-6.8971357416293495,-3.9943489229815405,8.977760073091636,-3.6811839223728957,-2.983248339675021,-13.195687957981269,-15.39364360184778,-7.564889210848995,-26.13231513615627,-11.212232453750435
5.849485002168009,0.7180566294860651,COc1cccc(C2(C(=O)NS(=O)(=O)Oc3ccccc3C)CCN(c3ccccc3OC)CC2)c1,-0.8199302987137834,-36.63797598841162,14.168075522805298,1.067578234299041,-0.3909136149160098,-7.827639992872509,13.754245801165473,-0.39391266259175195,12.063514793071613,12.644076527485108,-0.10007554364338618,-3.3785160413715065,-3.5491404708718064,-5.181662359839499,2.763153465181538,5.844269551210011,-0.29062098837150885
5.849485002168009,0.7180566294860651,CCCc1ccccc1OS(=O)(=O)NC(=O)C1(c2cccc(OC)c2)CCN(c2ccccc2OC)CC1,11.808357941672325,-22.217964787367777,7.485901225327684,7.641596256334363,-20.868071324586126,-13.794156038914819,1.0884426288910625,-5.76222860477314,4.600959325192898,-16.82590402384228,21.493989239262845,10.132253831987597,4.6883373923505145,25.624690232319967,-15.28463019770026,0.8751772400407771,-12.061507178994086
5.849485002168009,0.7180566294860651,COc1cccc(C2(C(=O)NS(=O)(=O)Oc3ccccc3C3CCCC3)CCN(c3ccccc3OC)CC2)c1,20.1911952004255,-21.91247057372495,3.1990927330043912,13.331884982736552,-19.181221683448634,-25.605025121714863,-21.5749528955768,-6.6783394458601935,-19.02488084446592,-22.36084938184751,-12.779586971396766,2.5207071217447865,-2.5633790539671155,-10.402208169517031,15.772934202643683,8.460412502695846,7.171624596831044
6.3872161432802645,2.8796224700928965,COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C)cccc3C)CCN(c3ccccc3OC)CC2)c1,-0.5696227920890918,-33.776804746181384,13.114294240263556,-2.124241846129051,1.6667196966677136,-3.923646150617646,19.64794455111559,6.1876126733169965,17.19018886816343,16.707266842784012,1.4371499741521454,-6.651573121245387,1.9195647434482332,-0.1897312471206199,6.37750937959359,14.474717350177137,6.946767245063746
6.481486060122112,2.8796224700928965,COc1cccc(C2(C(=O)NS(=O)(=O)Oc3c(C(C)C)cccc3C(C)C)CCN(c3ccccc3OC)CC2)c1,-4.3030304081783814,-3.104934591764479,10.348709015850524,-1.8380151618613725,1.8115833985756165,6.01873111938732,2.785958468232815,9.799561111107318,-5.661250642491627,-6.481927862993503,-5.5136654000659595,3.11719275910533,7.262134694486285,2.587822607213645,0.44297140323544837,-3.2562887451686096,8.667948633830585
