average,sample_weight,SMILES,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23,PC_24,PC_25,PC_26,PC_27
23.9,1.0,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2C)ccc1OCC(=O)O,-17.915431046072833,40.765330959233566,-10.462754694276658,3.6749613536059855,14.468450885492677,13.535248073554149,30.99955158036793,-14.783286125675144,-11.337359839781378,-7.582752308353856,0.6884174925686216,-1.8110371284054145,3.442731585499465,-3.139280401829855,-0.952628676793134,-4.339036227880026,-3.2105181869633106,0.0709956958700977,-3.447312682525449,0.08483733930484268,-0.4718685790177119,-0.1312096226130959,0.7183232946598294,1.0988513984621255,0.19180357513614135,0.004334252660531884,0.10553360164858763
20.0,1.0,O=C(O)Cc1ccc(Cl)c(OCCC2CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,-34.32158325364027,12.613546583483771,-7.634220380188105,18.00631853197342,6.358375470585695,-0.39919744705768295,-1.8512620512756717,4.504552684473623,-3.9131962621799823,5.970146665066633,3.4246204748408626,-4.8972063830431,-0.6625540170637667,6.357746242171222,-14.60342239045659,2.5257302998242714,10.78453880155428,3.451782816117105,8.938842779356984,-9.906028494775834,-1.5144974230991275,3.389306311497113,-6.120755117229147,-4.730435144028467,2.9213434610962197,-0.8786446103691063,1.7721882406609508
19.8,1.0,O=C(O)Cc1ccc(Cl)c(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)nc4s3)CC2)c1,-14.630823570044583,0.45223519506002585,-3.586217043051236,-17.909175372356145,16.052099236970125,14.341221607157186,-15.71757333555223,-1.1181099630372764,-9.778164314244417,2.265673545331649,-0.09129111091929716,6.5900946512178615,0.054529081007489565,-5.6138660937380855,1.6299296280941793,12.117483009891863,-2.7327013120979964,-3.759991372001934,0.7172313538784711,-4.54447003994967,0.940830692845513,4.250371492511808,2.1117531683607402,1.509780294684573,2.699083183359734,-4.184240100604396,-1.5021877705412983
22.3,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3=O)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,-11.783094684977504,-5.304007151038011,-4.087154587217188,-19.44994587776667,8.859624989515153,2.2667388884591144,-5.750527831114808,-6.346568948446801,15.225296439459417,-1.7980828844666292,3.623433551877717,-4.5090878640946634,4.583968683647369,1.2856884879245407,1.676872022242794,-6.433567933333208,2.0293010705886934,5.493206133057952,-4.939669498033909,4.5079178058736336,-4.120034799149968,7.562029182848251,-7.9797068321741715,5.3267902177530635,4.840916228659162,3.329485038870445,-1.1323508365837376
26.2,1.0,CC(C)C1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,-29.987448179297296,4.854852471328216,-1.3506870692417223,23.298683217413004,-2.2810261909831064,6.595057058128397,-9.739221608841929,-6.144663509601325,6.560617526943533,-2.015303547790919,-1.9510485292096498,1.3382879959059972,-1.6931687387142171,3.0315815663926915,9.89072755900298,-0.15788198413612678,-3.8728294809845187,0.39631432435605013,-1.4669016123965568,-6.0669726939163,-2.79673761748661,-0.5047682764392687,5.1171502722323945,-1.4224417372877325,5.244431693068358,-0.9130408128830502,1.4281887149446468
33.6,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,-16.1717082126323,-7.348687632670209,-3.1201095249271806,-23.575824498588073,5.29984233205946,0.4135714671668393,0.20211273237804175,-5.84314585117582,4.705625943442315,0.1186522435636861,4.552693553032008,-3.9058740527366997,-2.066396974894852,4.641125284101942,-2.5956771886009133,1.2448454607631476,3.71920953330893,3.448031089273389,0.0820146067243927,-0.30213482063424557,-0.09252996565698504,0.5321775355780073,1.274357068433149,1.9633242189074487,-2.08138211069571,1.4997716392356015,-0.24772792574397579
33.4,1.0,Cc1ccc(CC(=O)O)cc1OCCC1(N2CCCC2)CCN(c2nc3ccc(Cl)cc3s2)CC1,-26.632472240465212,-6.006416425520366,2.097329809635014,-1.556844916054965,-3.0098301940132295,4.323337772327315,1.9518164473894932,8.496674605534182,-12.146600532404808,12.225168183139854,-6.002239287198159,-10.870206708309556,1.505134099079045,3.219001481104759,12.789971183784202,1.7493962240590861,-5.105973941564808,6.011784669635269,1.1018138300949512,0.023162953707389456,-6.4794617467384485,0.5889220845015316,-0.3803733592529494,-0.9992268433746275,-3.376235129493181,-0.5221258425864671,-1.8825250803034095
18.2,1.0,CN(C)C1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,-29.897098298770675,-1.8188607986236844,-3.934503123040613,2.5142702625201974,-1.0173847055045386,-6.805422372112195,4.513554311373763,-3.186732974869533,5.21058196152234,6.740471116589377,-10.753564764179478,7.134289250336942,-4.4844189849112555,1.6661257601059776,0.12193108419552803,-4.417721934248886,2.663604409949036,-0.6352990127668012,-0.2404926687582826,-6.615827532223721,0.4881357099394962,-8.87667177820667,-0.10520109351357877,-0.5898850782046218,2.9014607619038064,6.730488235967396,-5.300817648047632
36.7,1.0,Cc1cc(CC(=O)O)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,-27.020545929508337,-8.723941561922917,-1.8348899017938847,-4.0574351740210135,2.337579732260885,-6.939887944289759,6.355529554509183,2.18737038482815,-4.13476050549593,13.488290019994839,-5.5140884058344275,-6.265408774920927,3.207642950137178,-2.0865478373454565,4.330633330098768,0.7317009782471895,-2.9042386264414515,-2.6551393683078905,1.5243229828340412,2.3423064230007253,-3.743204411792897,1.1547377450485978,-8.620712347498717,-1.4175501608358119,-5.894514330646886,-0.7516654615373497,3.2196651573506276
28.8,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(C3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,-30.524381159506326,-9.06972174270773,6.743261119299989,-0.8095466529208623,-14.698868641292618,0.9034652437094103,3.8976099262282276,3.343020749856423,0.9814097291365759,-12.847723549032997,5.962326034564437,-1.3885155136003142,0.3649521570483718,0.9696203992546807,0.3221286713700358,2.1964131565521345,-4.165198367819781,-1.89667475482015,3.028015943218479,-0.7711053841138588,-4.101119721766968,1.1244936437979447,-3.942732755750214,-6.988804199917465,-1.1717546012565017,-0.7623607724549505,-3.1211445613647615
29.2,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(C3CCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,-29.321255251833595,-11.533022502834886,8.163922517024478,-2.146582733022758,-15.178129840806779,0.9612543081646598,5.033916955478013,6.383497825799371,-3.0133260343669765,-13.852563987381036,12.101451335318005,-1.0370572886218616,1.2525339150110926,-0.23286096072376075,0.15199682397011746,-0.9233608109793189,-2.298714648526833,-4.043401345375873,1.9002638586236111,-1.4292242057410358,-1.0964573777426465,-2.6758472875803103,-2.686926603436964,-0.8964122996336408,-1.0754952078597118,-0.06384677686587575,-3.1669932236994285
22.7,1.0,CCC(C)C1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,-29.341845417239494,-4.643993616315727,-0.7868944356153873,12.939317300619862,-3.517882509922642,-5.402759057451525,2.047247689257821,-8.260183172738953,12.762310673645116,-6.901203772932568,0.26573170722211575,5.853925510291499,-3.072193693574699,-0.9473569879455778,8.722071160010067,2.9191170386633405,-3.870366730789938,-7.023093044584492,-0.45587436240519336,-3.6952730858893172,-0.9066707464940263,-0.06595264369897903,-4.786814507602168,1.2346984425247023,-1.4978680552289683,-1.7005434319149222,2.9315716519599575
