SMILES,GETAWAY_263,RDF_191,RDF_190,RDF_196,GETAWAY_143,GETAWAY_124,RDKit2D_EState_VSA1,GETAWAY_18,GETAWAY_78,AC3D_68,RDKit2D_EState_VSA6,GETAWAY_126,GETAWAY_259,GETAWAY_38,GETAWAY_134,AC3D_67,GETAWAY_166,GETAWAY_136,GETAWAY_268,WHIM_76,AC3D_58,GETAWAY_138,AC3D_59,GETAWAY_129,GETAWAY_255,AC3D_65,AC3D_69,GETAWAY_169,GETAWAY_168,GETAWAY_140,GETAWAY_83,GETAWAY_139,GETAWAY_258,GETAWAY_141,AC3D_66,FP_RDKit512_287,GETAWAY_142,USR_cst_Skew,GETAWAY_87,WHIM_103,RDKit2D_BalabanJ,MORSE_202,GETAWAY_135,AC2D_184,FP_RDKit512_165,AC3D_61,GETAWAY_39,AC2D_168,AC2D_127,GETAWAY_271,AC3D_63,Flex_Rotatable_Fraction,GETAWAY_227,AC2D_103,GETAWAY_205,FP_MACCS_111,RDKit2D_VSA_EState5,GETAWAY_119,AC3D_33,RDF_139,AC3D_56,GETAWAY_260,USR_ctd_Skew,MORSE_99,RDF_79,WHIM_106,GETAWAY_86,WHIM_101,FP_AtomPair1024_366,GETAWAY_76,AC3D_3,AC2D_144,AC3D_18,FP_RDKit512_25,AC3D_54,Shape_Principal_Axis_3_T,GETAWAY_117,GETAWAY_19,RDF_19,FP_AtomPair1024_969,RDF_49,WHIM_43,GETAWAY_202,MORSE_3,GETAWAY_137,MORSE_207,AC2D_175,AC2D_112,AC2D_111,AC2D_188,WHIM_100,MORSE_210,MORSE_158,GETAWAY_93,GETAWAY_173,AC2D_146,RDKit2D_PEOE_VSA11,AC2D_79,GETAWAY_46,GETAWAY_249,GETAWAY_116,AC2D_152,FP_AtomPair1024_661,FP_TopoTorsion1024_292,AC3D_13,AC3D_62,FP_AtomPair1024_72,average,sample_weight
Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2C)ccc1OCC(=O)O,162.921,84.64,42.521,54.07,97.864,52.178,17.709055,0.31,0.356,4.01,17.828253,31.711,3.51,0.524,7.792,4.019,2.521,6.48,0.666,0.362,0.616,2.97,0.514,3.208,11.789,3.293,3.446,0.753,1.126,2.391,11.539,1.694,7.003,2.2,3.721,0.0,2.135,0.0003684995,1.312,0.494,1.6772145,6.19,1.656,0.728,1.0,2.487,0.36,0.683,-0.42,0.269,3.596,0.23333333,14.052,0.084,0.633,0.0,0.1634346,0.298,0.447,2.607,0.576,3.753,0.39975634,-0.257,3.298,0.564,1.847,0.488,0.0,0.547,0.397,0.93375003,0.704,0.0,0.462,5.2461348,0.392,0.279,4.082,0.0,6.8,0.365,2.055,-0.699,3.927,1.78,1.337,-0.052,-0.38,0.799,0.45,5.102,0.039,16.861,25.57,1.118,6.606882,1.63,2.039,0.042,0.543,0.676,0.0,0.0,0.598,3.25,1.0,23.9,1.0
O=C(O)Cc1ccc(Cl)c(OCCC2CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,101.01,47.805,31.023,24.859,66.827,31.785,5.9693055,0.28,0.329,2.114,29.535887,14.586,2.787,0.621,5.417,2.005,2.399,3.134,0.772,0.529,0.513,1.865,0.552,2.803,10.762,2.133,2.666,0.729,1.204,1.409,10.774,1.508,4.343,1.948,2.301,1.0,0.898,0.03427378,1.352,0.489,1.2725329,5.314,1.776,0.705,1.0,1.516,0.397,0.756,-0.122,0.132,1.994,0.23333333,15.011,-0.077,0.574,1.0,0.27620003,0.29,0.448,4.9,0.58,2.164,0.26089317,-0.677,4.92,0.589,1.933,0.513,0.0,0.534,0.396,0.658,0.638,1.0,0.484,4.905979,0.383,0.263,5.308,0.0,9.862,0.43,1.847,-0.708,2.654,-0.302,0.862,-0.101,0.001,1.038,0.465,0.283,-0.072,19.28,24.941,1.065,5.1315584,0.661,1.979,0.046,0.499,0.812,0.0,1.0,0.635,2.114,1.0,20.0,1.0
O=C(O)Cc1ccc(Cl)c(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)nc4s3)CC2)c1,133.755,78.751,53.064,47.147,73.852,42.501,17.83953,0.238,0.284,2.511,18.1991,32.621,2.958,0.325,5.101,2.356,2.283,4.243,0.604,0.144,0.704,1.932,0.651,4.828,9.729,2.468,2.67,0.797,0.988,1.499,11.505,1.189,5.682,1.284,2.237,1.0,0.822,0.2989218,1.314,0.437,1.2674074,7.017,1.258,0.614,1.0,1.591,0.336,0.758,-0.041,0.093,2.121,0.21052632,13.679,-0.116,0.653,1.0,-0.42838407,0.267,0.416,8.101,0.59,2.781,0.41220886,-1.686,8.549,0.545,2.063,0.41,0.0,0.476,0.364,0.725,0.777,1.0,0.459,6.056151,0.272,0.231,9.198,0.0,11.879,0.31,2.021,-1.613,2.318,4.43,0.848,-0.097,-0.014,0.871,0.415,1.946,0.084,17.774,25.537,1.068,5.1315584,1.933,2.416,0.034,0.473,0.837,0.0,1.0,0.485,1.988,1.0,19.8,1.0
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3=O)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,151.282,60.208,40.026,61.605,87.741,47.989,23.24798,0.302,0.352,3.085,18.1991,30.359,3.035,0.431,5.763,3.194,2.353,4.224,0.296,0.159,0.738,2.333,0.732,6.631,10.149,3.022,4.455,0.877,1.199,1.926,11.207,1.177,6.621,0.593,2.025,0.0,1.48,0.35193172,1.273,0.388,1.2901605,3.174,1.241,0.665,1.0,1.711,0.362,0.729,-0.161,0.339,2.292,0.20512821,14.897,-0.03,0.682,1.0,-0.36407626,0.245,0.424,7.316,0.531,3.864,0.47707894,-1.219,7.559,0.523,2.13,0.422,0.0,0.424,0.368,0.725,0.849,1.0,0.451,6.173887,0.318,0.214,8.3,1.0,10.803,0.27,2.016,-1.467,2.6,5.972,1.048,-0.077,-0.128,0.998,0.366,4.407,0.048,19.674,26.768,0.973,5.1315584,2.448,2.348,0.044,0.427,0.794,0.0,1.0,0.509,1.923,1.0,22.3,1.0
CC(C)C1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,93.049,66.915,39.071,46.332,47.462,22.947,5.9693055,0.309,0.34,2.078,29.535887,14.794,2.395,0.487,2.574,2.152,2.137,2.115,0.658,0.141,0.564,1.337,0.583,3.857,9.322,1.874,2.545,0.712,1.176,0.845,10.058,1.091,3.817,1.651,2.251,1.0,1.593,0.34151337,1.827,0.41,1.3895786,7.786,1.27,0.661,1.0,1.285,0.331,0.762,-0.068,0.137,1.744,0.24242425,17.066,-0.072,0.576,1.0,0.20477101,0.244,0.432,5.944,0.621,1.831,0.48222017,-0.532,6.161,0.407,2.237,0.431,0.0,0.41,0.388,0.655,0.65,1.0,0.453,4.919583,0.412,0.22,6.454,1.0,6.95,0.309,1.721,-0.543,1.854,-0.436,0.644,-0.092,0.036,1.023,0.41,-1.275,-0.123,21.572,25.477,0.961,5.1315584,0.688,2.238,0.04,0.396,0.815,0.0,1.0,0.587,1.789,1.0,26.2,1.0
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,142.826,66.018,63.134,56.338,86.166,47.116,17.709055,0.275,0.331,2.634,18.1991,31.787,2.901,0.427,6.504,2.509,2.403,4.641,0.341,0.597,0.754,2.859,0.724,5.184,10.171,2.935,3.107,0.82,1.149,2.462,11.402,1.301,6.905,0.472,1.918,0.0,1.033,0.2944183,1.461,0.481,1.2630618,5.883,1.407,0.656,1.0,1.727,0.375,0.729,-0.112,0.118,2.318,0.21052632,14.479,-0.05,0.62,1.0,-0.35894305,0.244,0.434,7.639,0.564,3.894,0.31218097,-1.17,8.595,0.679,2.005,0.531,0.0,0.461,0.378,0.718,0.864,1.0,0.467,4.6037416,0.295,0.208,9.911,0.0,11.293,0.438,2.06,-1.385,2.757,3.776,0.915,-0.079,-0.107,0.908,0.442,4.176,-0.054,19.951,26.014,0.983,5.1315584,1.764,2.265,0.045,0.458,0.795,0.0,1.0,0.524,1.915,1.0,33.6,1.0
Cc1ccc(CC(=O)O)cc1OCCC1(N2CCCC2)CCN(c2nc3ccc(Cl)cc3s2)CC1,89.112,34.022,59.106,34.651,51.054,26.124,5.9693055,0.272,0.303,2.126,11.336786,15.461,2.542,0.464,3.882,2.095,2.144,2.154,1.006,0.585,0.673,1.551,0.68,2.272,9.783,1.717,2.743,0.641,1.124,0.679,10.289,1.28,3.966,0.804,1.715,0.0,0.962,0.120883435,1.764,0.495,1.261325,4.209,1.454,0.605,1.0,1.08,0.262,0.828,-0.077,0.103,1.527,0.22857143,16.591,-0.009,0.581,1.0,-0.026233627,0.23,0.425,8.459,0.62,1.583,0.39612848,-1.29,8.484,0.58,2.409,0.528,0.0,0.421,0.387,0.699,0.721,1.0,0.46,4.887425,0.275,0.21,8.84,0.0,11.817,0.568,1.786,-1.168,1.493,0.082,0.864,-0.121,-0.024,0.831,0.477,0.942,0.041,21.81,24.07,0.973,5.1315584,0.892,2.49,0.054,0.403,0.917,0.0,1.0,0.537,1.377,1.0,33.4,1.0
CN(C)C1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,92.035,37.777,31.546,39.198,53.387,24.536,5.9693055,0.276,0.328,2.389,29.535887,19.043,2.053,0.609,3.428,2.284,2.354,2.984,0.241,0.317,0.673,1.495,0.648,2.145,9.228,2.481,2.949,0.68,1.255,1.814,10.651,0.946,3.95,0.824,1.806,0.0,1.196,0.2536324,1.695,0.486,1.3840173,4.376,1.358,0.73,1.0,1.418,0.333,0.822,-0.148,0.141,1.969,0.24242425,15.633,-0.027,0.549,1.0,-0.2814909,0.238,0.458,6.547,0.605,2.915,0.3607783,-1.274,7.344,0.51,2.435,0.551,0.0,0.439,0.402,0.662,0.866,1.0,0.472,5.1498103,0.325,0.209,8.707,1.0,12.243,0.529,1.779,-1.163,1.595,0.049,0.812,-0.141,-0.086,1.089,0.463,-0.436,-0.046,20.487,25.782,0.9,5.1315584,0.863,2.449,0.042,0.419,0.917,0.0,1.0,0.637,1.479,1.0,18.2,1.0
Cc1cc(CC(=O)O)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,84.724,28.539,55.742,25.092,47.356,24.332,5.9693055,0.288,0.326,2.181,11.336786,13.826,1.902,0.484,3.234,2.189,2.152,2.261,0.314,0.453,0.723,1.479,0.771,3.362,8.868,2.036,3.182,0.638,1.156,1.233,10.3,0.795,3.988,0.513,1.642,0.0,0.854,0.13838798,1.373,0.465,1.2564896,2.191,1.23,0.672,1.0,1.167,0.267,0.828,-0.089,0.084,1.577,0.22857143,15.825,-0.015,0.578,1.0,-0.054708682,0.233,0.442,6.198,0.583,2.325,0.30878916,-1.684,6.241,0.532,2.106,0.473,0.0,0.42,0.4,0.699,0.779,1.0,0.468,5.3634977,0.273,0.213,6.902,0.0,11.462,0.495,1.791,-1.412,1.53,-0.742,0.913,-0.121,-0.043,0.913,0.45,-0.115,0.113,21.332,23.291,0.985,5.1315584,0.903,2.184,0.04,0.401,0.917,0.0,1.0,0.554,1.258,1.0,36.7,1.0
O=C(O)Cc1cc(Cl)cc(OCCC2(C3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,88.076,33.267,66.571,71.304,44.637,22.777,5.9693055,0.319,0.349,2.235,29.535887,15.742,1.948,0.505,2.624,2.259,2.191,2.082,0.241,0.253,0.688,1.247,0.716,3.963,8.356,2.272,3.061,0.73,1.236,1.493,10.241,0.788,3.779,0.664,1.637,0.0,1.039,-0.18174219,1.711,0.444,1.2564896,4.707,1.082,0.684,1.0,1.284,0.328,0.747,-0.054,0.117,1.785,0.22857143,17.224,-0.071,0.606,1.0,0.5200349,0.255,0.446,6.367,0.559,2.763,0.20615336,-1.311,6.966,0.456,2.338,0.506,0.0,0.411,0.4,0.637,0.853,1.0,0.462,4.7777553,0.289,0.237,7.745,0.0,10.015,0.404,1.77,-1.091,1.246,1.677,0.813,-0.078,0.029,0.962,0.43,-1.623,0.024,22.615,25.626,0.906,5.1315584,0.747,2.339,0.034,0.391,0.796,0.0,1.0,0.605,1.327,1.0,28.8,1.0
O=C(O)Cc1cc(Cl)cc(OCCC2(C3CCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,95.574,46.973,59.064,45.855,52.225,26.408,5.9693055,0.253,0.288,2.356,29.535887,18.691,2.041,0.415,3.543,2.301,2.133,2.192,0.304,0.377,0.727,1.474,0.743,2.654,9.206,2.253,3.079,0.694,1.14,1.877,10.304,0.882,4.16,0.587,1.657,0.0,0.92,-0.17021492,1.852,0.422,1.2694596,4.757,1.286,0.673,1.0,1.218,0.293,0.749,-0.053,0.074,1.712,0.22222222,17.061,-0.065,0.599,1.0,0.51266205,0.237,0.436,7.152,0.568,3.065,0.09588536,-0.221,7.459,0.493,2.403,0.456,0.0,0.395,0.391,0.636,0.919,1.0,0.474,4.6680655,0.297,0.216,7.847,0.0,12.398,0.402,1.727,-0.219,1.406,0.687,0.802,-0.077,0.029,0.911,0.412,0.032,0.175,22.964,25.629,0.88,5.1315584,0.743,2.427,0.039,0.377,0.798,0.0,1.0,0.585,1.278,1.0,29.2,1.0
CCC(C)C1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,87.218,40.444,39.051,39.479,48.779,24.444,5.9693055,0.306,0.343,2.346,29.535887,14.043,1.909,0.532,3.041,2.275,2.078,2.175,0.229,0.168,0.689,1.462,0.715,4.057,8.443,2.355,3.222,0.665,1.256,1.427,10.237,0.77,4.139,0.742,1.714,0.0,1.094,0.45160154,1.66,0.383,1.4091142,5.401,1.122,0.716,1.0,1.346,0.279,0.764,-0.064,0.119,1.872,0.2647059,16.212,-0.057,0.552,1.0,0.32861528,0.217,0.45,5.738,0.571,2.666,0.52335364,-1.985,6.138,0.398,1.98,0.402,0.0,0.386,0.399,0.654,0.851,1.0,0.463,4.7480583,0.391,0.198,6.795,1.0,8.226,0.315,1.645,-1.912,1.614,-1.364,0.733,-0.09,0.029,1.02,0.375,-1.88,-0.033,21.768,24.563,0.883,5.1315584,0.713,1.977,0.037,0.369,0.816,0.0,1.0,0.618,1.406,1.0,22.7,1.0
CC(C)CC1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,91.903,25.882,26.115,32.094,55.731,26.288,5.9693055,0.274,0.32,2.35,29.535887,17.252,1.967,0.57,3.876,2.227,2.225,2.651,0.297,0.393,0.676,1.584,0.746,3.064,9.239,2.304,3.269,0.671,1.236,2.055,10.647,0.927,4.137,0.544,1.698,0.0,0.955,0.2008125,1.44,0.442,1.3970996,5.36,1.396,0.719,1.0,1.331,0.337,0.764,-0.059,0.079,1.864,0.2647059,15.689,-0.089,0.535,1.0,0.35239628,0.229,0.453,6.989,0.558,2.932,0.28097355,-1.486,7.178,0.536,2.343,0.556,0.0,0.423,0.403,0.654,0.821,1.0,0.474,5.7374516,0.253,0.206,7.981,0.0,12.223,0.335,1.701,-1.353,1.499,-1.153,0.863,-0.09,0.026,0.936,0.417,-2.69,-0.125,21.237,25.112,0.935,5.1315584,0.748,2.361,0.041,0.399,0.816,0.0,1.0,0.622,1.392,1.0,26.9,1.0
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,90.144,35.117,36.173,27.47,53.743,26.135,5.9693055,0.253,0.295,2.409,29.535887,17.009,1.923,0.499,3.71,2.288,2.158,2.316,0.299,0.428,0.749,1.566,0.804,3.362,9.212,2.211,3.324,0.687,1.176,2.055,10.537,0.862,4.191,0.467,1.665,0.0,0.846,0.44602224,1.526,0.407,1.2694596,3.169,1.378,0.673,1.0,1.216,0.318,0.806,-0.109,0.107,1.702,0.22222222,15.938,-0.052,0.565,1.0,-0.24225129,0.229,0.433,5.8,0.583,2.97,0.46100143,-1.263,6.007,0.51,2.31,0.499,0.0,0.384,0.385,0.643,0.923,1.0,0.468,6.2316384,0.266,0.208,6.288,0.0,6.574,0.35,1.686,-1.112,1.416,0.605,0.93,-0.118,-0.062,0.911,0.385,-1.19,-0.054,21.939,25.344,0.887,5.1315584,0.947,2.364,0.035,0.366,0.895,0.0,1.0,0.583,1.272,1.0,27.6,1.0
CCCC1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,95.92,44.242,66.653,18.551,54.946,26.642,5.9693055,0.308,0.345,1.889,29.535887,17.673,2.804,0.485,3.732,1.848,2.088,2.369,0.781,0.488,0.564,1.616,0.588,1.336,9.722,1.727,2.455,0.805,1.151,1.077,10.518,1.526,4.114,1.33,1.935,1.0,1.014,0.20347188,1.654,0.436,1.3768812,4.97,1.419,0.63,1.0,1.264,0.418,0.762,-0.07,0.135,1.691,0.27272728,15.999,-0.076,0.667,1.0,-0.3048216,0.335,0.428,4.049,0.572,2.001,0.36712825,-0.834,4.274,0.517,2.413,0.479,0.0,0.368,0.383,0.655,0.671,1.0,0.453,5.630925,0.305,0.301,4.624,0.0,5.455,0.471,1.616,-0.784,1.786,0.45,0.785,-0.092,0.026,0.94,0.418,-0.101,-0.127,20.281,25.683,0.999,5.1315584,0.713,2.444,0.039,0.349,0.815,0.0,1.0,0.579,1.756,1.0,31.1,1.0
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,90.376,36.874,34.186,33.23,54.981,26.206,5.9693055,0.256,0.297,2.388,29.535887,19.048,1.882,0.504,3.844,2.375,2.264,2.706,0.315,0.46,0.745,1.517,0.79,2.438,9.372,2.316,3.372,0.64,1.17,2.0,10.609,0.89,4.041,0.511,1.711,0.0,0.972,0.4141996,1.582,0.402,1.2564896,3.61,1.442,0.684,1.0,1.282,0.315,0.804,-0.112,0.142,1.794,0.22857143,15.667,-0.058,0.516,1.0,-0.2452951,0.218,0.452,3.913,0.594,2.88,0.38888568,-1.748,4.479,0.515,2.53,0.512,0.0,0.419,0.402,0.643,0.906,1.0,0.474,6.241068,0.252,0.195,5.116,0.0,5.841,0.317,1.748,-1.449,1.443,-0.14,0.943,-0.121,-0.066,0.962,0.383,-0.858,0.094,21.423,25.179,0.912,5.1315584,0.953,2.573,0.039,0.4,0.894,0.0,1.0,0.611,1.328,1.0,36.6,1.0
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,91.786,40.958,41.449,37.536,51.888,25.733,5.9693055,0.241,0.279,2.337,29.535887,16.054,1.913,0.483,3.37,2.091,2.169,2.311,0.275,0.587,0.738,1.479,0.789,3.201,9.283,2.081,3.061,0.702,1.187,1.481,10.391,0.787,4.103,0.483,1.577,0.0,0.675,0.40793043,1.743,0.465,1.2841856,4.287,1.376,0.663,1.0,1.155,0.298,0.808,-0.107,0.104,1.616,0.21621622,16.863,-0.046,0.583,1.0,-0.23920749,0.225,0.418,8.741,0.565,2.628,0.45324057,-0.891,9.409,0.57,2.225,0.514,0.0,0.395,0.373,0.642,0.914,1.0,0.469,5.1099715,0.318,0.206,10.48,0.0,13.123,0.481,1.702,-0.84,1.662,-0.038,0.918,-0.115,-0.059,0.867,0.45,-1.234,0.071,23.223,26.213,0.85,5.1315584,0.941,2.268,0.041,0.377,0.896,0.0,1.0,0.56,1.23,1.0,23.8,1.0
O=C(O)Cc1ccc(Cl)c(OCCC2(C3CCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,90.413,59.312,45.422,38.037,50.731,25.085,5.9693055,0.201,0.229,2.409,29.535887,17.788,2.327,0.331,3.209,2.267,2.068,2.075,0.73,0.148,0.703,1.165,0.722,3.064,9.548,1.756,3.027,0.684,0.957,0.94,10.519,1.097,3.464,1.583,2.131,1.0,0.813,0.18423651,1.843,0.407,1.2742252,4.969,1.376,0.609,1.0,1.106,0.303,0.749,-0.048,0.085,1.53,0.22222222,15.997,-0.089,0.57,1.0,0.4465569,0.231,0.418,3.449,0.621,1.833,0.45710096,-0.52,3.495,0.472,2.697,0.449,0.0,0.395,0.379,0.636,0.864,1.0,0.465,8.280348,0.258,0.207,3.579,0.0,3.663,0.263,1.648,-0.622,1.651,0.272,0.798,-0.077,0.034,0.856,0.401,-1.543,0.059,21.789,24.916,0.948,5.1315584,0.753,2.755,0.036,0.373,0.798,0.0,1.0,0.547,1.537,1.0,21.5,1.0
CCC1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,90.653,41.929,33.179,32.365,55.079,27.569,5.9693055,0.272,0.313,1.978,29.535887,14.062,2.693,0.443,4.038,1.974,2.071,2.26,0.938,0.207,0.564,1.754,0.616,2.37,9.225,1.845,2.652,0.739,1.085,1.046,10.37,1.576,4.188,2.034,2.111,1.0,1.495,0.31907105,1.271,0.428,1.3534632,5.358,1.309,0.643,1.0,1.341,0.418,0.76,-0.084,0.176,1.783,0.25,15.16,-0.061,0.58,1.0,-0.31163478,0.288,0.433,3.247,0.615,1.914,0.42785883,-1.078,3.2,0.481,2.035,0.465,0.0,0.425,0.385,0.656,0.66,1.0,0.462,4.5827627,0.378,0.257,3.312,1.0,4.433,0.34,1.654,-1.111,1.944,-0.464,0.698,-0.095,0.026,1.006,0.417,-1.769,-0.128,19.574,23.891,0.992,5.1315584,0.676,2.025,0.051,0.404,0.814,0.0,1.0,0.597,1.861,1.0,22.9,1.0
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)nc4s3)CC2)c1,146.322,58.457,94.782,63.68,82.672,46.998,17.83953,0.281,0.327,2.312,18.1991,40.686,3.038,0.392,6.379,2.295,2.457,5.606,0.293,0.319,0.682,2.106,0.647,3.598,9.687,2.817,2.674,0.928,1.159,2.431,11.47,1.228,6.232,0.898,1.762,0.0,1.284,0.29808992,1.522,0.461,1.2630618,3.709,1.238,0.644,1.0,1.692,0.403,0.758,-0.085,0.125,2.263,0.21052632,14.924,-0.053,0.753,1.0,-0.3697937,0.31,0.425,2.448,0.518,4.302,0.41796076,-0.734,3.283,0.574,2.281,0.481,0.0,0.451,0.369,0.725,0.782,1.0,0.454,6.390534,0.285,0.269,4.517,0.0,6.295,0.473,2.112,-0.867,2.001,5.541,0.896,-0.097,-0.064,0.896,0.426,1.689,0.094,19.317,27.656,0.966,5.1315584,1.946,2.607,0.037,0.465,0.837,0.0,1.0,0.511,1.748,1.0,28.7,1.0
CC1CCCN1C1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,96.439,41.933,46.252,36.504,58.456,27.548,5.9693055,0.284,0.331,2.558,29.535887,18.053,1.999,0.569,4.234,2.458,2.294,2.595,0.294,0.413,0.747,1.753,0.811,3.662,9.527,2.33,3.514,0.688,1.285,2.256,10.548,0.94,4.304,0.586,1.783,0.0,1.049,0.12813248,1.559,0.439,1.2807581,5.854,1.417,0.692,1.0,1.235,0.324,0.806,-0.099,0.132,1.775,0.22222222,16.675,-0.071,0.557,1.0,-0.24803948,0.22,0.446,5.324,0.579,3.095,0.2702508,-2.968,6.241,0.582,2.377,0.557,0.0,0.405,0.399,0.643,0.896,1.0,0.472,5.428331,0.282,0.198,7.373,0.0,9.38,0.312,1.801,-2.582,1.51,1.115,1.001,-0.118,-0.059,0.904,0.416,-2.016,0.035,22.569,26.555,0.886,5.1315584,0.993,2.436,0.046,0.388,0.895,0.0,1.0,0.597,1.295,1.0,25.1,1.0
CCCCC1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,94.985,67.19,45.956,32.137,49.437,23.576,5.9693055,0.29,0.324,1.959,29.535887,14.893,2.484,0.552,2.731,1.822,2.189,2.289,0.637,0.344,0.603,1.437,0.646,3.655,9.752,1.679,2.521,0.805,1.241,0.803,10.133,1.18,3.854,1.077,1.905,1.0,0.883,0.3131339,1.656,0.446,1.3911926,6.756,1.392,0.619,1.0,1.195,0.39,0.764,-0.068,0.106,1.598,0.29411766,17.67,-0.067,0.668,1.0,-0.2996245,0.311,0.41,4.127,0.574,1.692,0.29688045,-1.19,4.671,0.465,2.225,0.515,0.0,0.368,0.369,0.654,0.73,1.0,0.454,4.9596286,0.328,0.286,5.398,0.0,8.657,0.478,1.674,-1.163,1.957,-0.16,0.769,-0.09,0.027,0.883,0.438,-0.678,0.071,22.664,27.005,1.005,5.1315584,0.71,2.216,0.031,0.354,0.816,0.0,1.0,0.553,1.657,1.0,26.7,1.0
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCOCC3)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,149.472,90.271,63.664,93.181,81.338,44.291,17.709055,0.29,0.341,2.864,18.1991,31.603,2.923,0.432,5.421,2.404,2.393,4.762,0.254,0.345,0.732,2.453,0.69,6.476,9.886,2.832,2.98,0.911,1.19,1.622,11.351,1.164,6.527,0.599,1.92,0.0,0.974,0.36996698,1.539,0.467,1.2763675,8.886,1.225,0.689,1.0,1.658,0.397,0.773,-0.116,0.1,2.21,0.20512821,15.267,-0.054,0.721,1.0,-0.3924249,0.281,0.416,6.742,0.539,3.512,0.40208215,0.403,7.655,0.586,1.91,0.479,0.0,0.435,0.363,0.732,0.863,1.0,0.461,5.463836,0.337,0.244,8.731,0.0,13.006,0.402,2.074,-0.042,2.627,0.903,0.917,-0.107,-0.116,0.917,0.438,5.547,-0.06,20.19,27.797,0.959,5.1315584,2.007,2.187,0.041,0.44,0.843,0.0,1.0,0.501,1.849,1.0,42.9,1.0
O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,413.97,254.405,227.606,235.308,250.206,105.525,56.844315,0.43600005,0.68624985,16.061749,0.0,75.935,25.561499,0.82175004,13.293251,5.407,2.956,13.201,2.3765001,0.566,1.149,14.299,1.275,22.943,16.882,6.057749,10.5685,1.358,2.241,4.054,13.65,6.15125,35.133,6.083,6.831,1.0,5.147,-0.7836684,0.735,0.541,2.5334196,13.733,2.5485,1.038,1.0,3.99925,0.7,0.97950006,-0.708,0.849,11.663,0.16129032,10.203,0.43225002,1.27,0.0,0.0,0.43249995,0.5435,0.389,0.668,8.96,-0.32865173,1.944,0.945,0.681,1.183,0.541,1.0,0.637,0.546,0.93375003,1.227,1.0,0.64675003,4.6440206,0.503,0.35350004,1.718,1.0,3.386,0.463,2.566,0.766,3.99,26.473,1.841,-0.002,-0.63,0.645,0.487,18.108,-0.073,12.877247,31.727,1.293,0.0,4.835,1.706,0.12,0.5627501,1.011,1.0,0.0,0.905,3.908,0.0,100.0,1.0
