average,sample_weight,SMILES,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25
23.9,1.0,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2C)ccc1OCC(=O)O,-2.898734752465046,5.120332223139956,-0.6497218923228644,0.2837541297592976,4.765861365979744,-5.080507280380838,5.385722982314788,-2.874560021845156,-0.1660832038691922,0.2692041483107989,0.8289178653757651,0.2782263644163976,-0.6956770694507671,0.36911789652539057,1.2042770391160753,0.019115275997632433,0.1900799783563266,-0.6373841495027671,0.15255824163374998,-0.1614507278368345,-0.610567045766571,-0.16271703216462552,-0.07328016883094411,-0.288889750778685,-0.2890194601042765,0.4305143387833352
20.0,1.0,O=C(O)Cc1ccc(Cl)c(OCCC2CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,-7.502436465780328,-0.4115408489608526,-3.0964622832478588,-0.26437273924762705,2.1469748191873483,-0.26184812602769314,-0.7587547860902504,1.1400804491165928,-0.3219866367051771,-0.00728070538652843,0.8645678208442663,2.0699027326841564,1.084075628936689,-1.4588076288637801,-0.21058411025502086,-0.28151452276615335,-0.961890135654935,1.2966658517604428,0.03755756650701534,3.2923062317711493,-0.47414147337192264,-0.09484244462329085,-1.6579691854179963,-0.5514437051721037,0.1656687700919558,-0.01663996316514084
19.8,1.0,O=C(O)Cc1ccc(Cl)c(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)nc4s3)CC2)c1,-0.8651684581816836,0.47612437970407545,4.484216996714864,-1.8091034952979936,2.13020598238969,-0.2901518157661957,-1.0361369272139864,2.58392181529405,-0.9325329097318551,-0.33602532568674387,1.6157940716103067,0.7519806912611722,0.9586091822874936,0.661234587370753,-0.0964726847285474,2.3597815356768876,-0.9258402652727472,-0.9117178878249446,-0.5712551252298508,-0.9260430513374922,0.3543984615545103,0.7681956888477266,-0.1442175843927343,-1.3556182904479745,-0.5144761364929539,-0.16569114912509386
22.3,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3=O)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,0.3644117770597064,-0.22338975205678846,4.807538470456567,-1.7317151649734868,0.5794492551191028,-0.5040340941365735,-0.8375141798999833,0.5991763552611256,0.22961968452726825,0.7268605780892159,-0.780721528946693,-0.4589858582643925,-1.062645121436955,0.748600536179069,-0.3913459381834406,-1.794556552033236,0.41964900490759727,1.6237083608494294,1.114546379042519,-0.7166217265260406,-0.23325512142126148,-1.7064249190775036,0.06757901375015155,-2.1388557812005464,0.591604399886052,-0.3112225303362131
26.2,1.0,CC(C)C1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,-6.7997514112473,-0.10819857460623677,-3.4623513292207737,0.52845693168313,1.4348227903978477,-0.8098960539195841,-0.583071061847587,1.9224650115124913,0.24933200634358557,-0.2996201391363215,-0.9739639695449851,-1.7064229038720304,0.051419065931272906,0.09609123252250786,-0.3401005449556885,-0.3496430355613062,-0.5939926038229695,1.2630125925103446,-0.12866309804654547,-1.3808778528934296,0.8151485862371323,1.0445187732743069,-0.5333481188059276,-0.2908094074726601,-2.0346789457427263,0.4813382790144263
33.6,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,-0.7221446617533265,0.8711739395041299,5.84190723769314,-1.6540209075159162,-0.09196850827957032,-2.215689631556155,-0.5140359498784105,0.05153568170570223,0.9932588749750765,0.6255561089862348,-0.3053090735621122,-0.10733849800353183,0.3742956831190255,-0.19132044518506688,-0.46544300080718154,-0.10597039174029216,-0.1416151014909517,0.8546853988756714,0.6229453037214185,0.9218304561669513,0.47526206694316503,-0.28649842753420807,0.7054789980378611,0.33951100021099645,-1.2344833041835448,-0.22369976778492479
33.4,1.0,Cc1ccc(CC(=O)O)cc1OCCC1(N2CCCC2)CCN(c2nc3ccc(Cl)cc3s2)CC1,-5.220786409568935,-0.47644432838327294,-0.05603361737184827,1.5338143245515983,-1.515334457562124,0.3154830895519356,1.334510609283582,-0.4088811695633935,-0.8629892099415826,-0.13449856920267103,3.9345624800064067,-1.0934760814916282,1.5025005855771718,0.5554812358845671,-0.950041997374488,-0.6603685162638937,0.25646479708105496,0.3162703952066679,1.0724001899911588,-0.5752954284310885,1.2658597561044993,0.6718899758534814,-0.3939681584933116,0.8642242165298297,1.4000915625561028,-0.14614861637323665
18.2,1.0,CN(C)C1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,-5.112157879149813,-1.9072832357833263,-0.9198737660843563,-1.2235838911751098,0.6698509872801991,-0.7550454754287443,-1.7271797938967963,-1.993578377348115,-0.6762845083143797,-2.102259440570849,-0.8077379392845117,0.1552261486562518,-0.4060593029979259,-0.12851564891132083,1.2794991587300892,-0.3304963579905948,1.1395274504355195,0.8129864439249522,0.10099357257012789,0.04596383834544306,-0.10187216310703917,1.9221371997716143,-0.3613207902850295,-0.5867467605634245,0.671642326977309,-0.7490325887021724
36.7,1.0,Cc1cc(CC(=O)O)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,-4.993961172217038,-1.9184794990545353,0.8485851135147526,0.7946374049706053,-0.19219824633298233,1.3737995983145435,-0.006299515617464747,-2.3072411165223987,0.41639723180918625,-0.12170465130374171,3.0393629124319754,-1.2229259711895664,0.7351807516400701,0.9189372368278512,-0.1838460819963215,-0.10054066830939067,0.7405577259031988,0.06893514504676843,-0.5330126285055995,0.6083820418372624,1.712581927189929,-0.8762054192385883,0.27088196901598627,-0.4780526432990304,-1.1834448207131951,-0.3999013101170007
28.8,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(C3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,-6.438133328428972,-0.2712948046499647,-0.14445572919753072,1.689078045823168,-3.574427166858404,0.6719447541657505,1.5651505130466237,0.04820149504307941,0.586609131088937,2.4067395537666965,-1.0579736968055462,1.576258505719337,-0.230062783994462,1.4592189029097224,-0.46619133111700756,0.03797318169932167,-0.3008105995183346,-0.3415465247297712,0.08450681283359714,0.5366561385710691,0.2790641036539016,0.31676560783202384,-0.21466668854184617,-1.1963682171031738,1.111426414490089,-0.45276347832726554
