SMILES,Emax,Emax-min,Emax-max,Emax_class
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,36.6,36.6,36.6,Partial agonist
C1CCCN(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,23.8,23.8,23.8,Weak partial agonist
C1CCC(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=C(C=CC(=C5)CC(=O)O)Cl,21.5,21.5,21.5,Weak partial agonist
CCC1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=C(C=CC(=C4)CC(=O)O)Cl,22.9,22.9,22.9,Weak partial agonist
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)N=C(C=C4)C(F)(F)F)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,28.7,28.7,28.7,Weak partial agonist
CC1CCCN1C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,25.1,25.1,25.1,Weak partial agonist
CCCCC1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=C(C=CC(=C4)CC(=O)O)Cl,26.7,26.7,26.7,Weak partial agonist
C1CN(CCC1(CCOC2=CC(=CC(=C2)CC(=O)O)Cl)N3CCOCC3)C4=NC5=C(S4)C=C(C=C5)C(F)(F)F,42.9,42.9,42.9,Partial agonist
C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,100.0,100.0,100.0,Full agonist
CCCC1=C(C=CC2=C1OC(=O)C=C2C(F)(F)F)OCCCCN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC,2.0,2.0,2.0,Weak partial agonist
CCCC1=CC(=CC(=C1OCCCCN2C(=O)C(NC2=O)(C)C3=CC=C(C=C3)OC(C)C)CCC)C(C(F)(F)F)(C(F)(F)F)O,26.0,26.0,26.0,Weak partial agonist
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=C(C=C2)CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C,0.0,0.0,0.0,Neutral antagonist
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=CC(=C2)CCN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C,23.0,23.0,23.0,Weak partial agonist
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=C(C=C2)CCN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C,1.0,1.0,1.0,Weak partial agonist
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)CCN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)C,53.0,53.0,53.0,Partial agonist
CCCC1=CC(=CC(=C1OC/C=C\CN2C(=O)C(NC2=O)(C)C3=CC=C(C=C3)OC(C)C)CCC)C(C(F)(F)F)(C(F)(F)F)O,0.0,0.0,0.0,Neutral antagonist
CCCC1=CC(=CC(=C1OC/C=C/CN2C(=O)C(NC2=O)(C)C3=CC=C(C=C3)OC(C)C)CCC)C(C(F)(F)F)(C(F)(F)F)O,40.0,40.0,40.0,Partial agonist
CCCC1=CC(=CC(=C1OCC#CCN2C(=O)C(NC2=O)(C)C3=CC=C(C=C3)OC(C)C)CCC)C(C(F)(F)F)(C(F)(F)F)O,27.0,27.0,27.0,Weak partial agonist
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=CC(=C2)CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C,53.0,53.0,53.0,Partial agonist
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)C(=O)CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)C,71.0,71.0,71.0,Full agonist
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)C(=O)CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)OC,38.0,38.0,38.0,Partial agonist
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)C(=O)CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)O,55.0,55.0,55.0,Partial agonist
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)C(=O)CN3C(=O)C(NC3=O)(C)C4=NC=C(C=C4)OC(C)C)O,68.0,68.0,68.0,Partial agonist
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)CCN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)OC,0.0,0.0,0.0,Neutral antagonist
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)CCN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)O,1.0,1.0,1.0,Weak partial agonist
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=C(C=C2)C(CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)O,5.0,5.0,5.0,Weak partial agonist
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=C(C=C2)C(=O)CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C,46.0,46.0,46.0,Partial agonist
