average,sample_weight,SMILES,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18
4.849485002168009,0.2531585351532043,Cn1cc(C(=O)O)c2ccc(N3CCC(OCc4c(-c5c(Cl)cccc5Cl)noc4C4CC4)CC3)cc21,1.8340852308593985,-2.4590387153867623,0.5223723273812323,0.9756502701369114,2.1609524235247797,10.463201532840039,-3.7183805318172136,11.109474265779935,6.75049887632981,-11.124643314501016,-3.2774670272930946,5.355797475201921,1.0286318005834236,-4.906261945985422,0.7185808061170069,-2.931137017217516,1.6692823308188987,0.29542848056646365,-1.1393337367388006
7.119186407719209,1.0152416625478935,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2C)ccc1OCC(=O)O,1.507412644123487,-9.883185907153813,-11.056446638179768,-2.0952537721855005,-1.1994719377628453,-4.485779619760052,7.515616653372058,-10.393168433959303,9.112511019333319,-5.723832412390331,-9.573251709541168,1.0701986814650992,4.453826837306347,3.7692301027881077,-1.1700732830640985,0.7683876097545359,0.35526205354258206,-1.8839131775583327,-0.20478268024750862
7.309803919971486,1.0152416625478935,O=C(O)Cc1ccc(Cl)c(OCCC2CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,15.533291190296044,-1.684707518929203,-8.164510839371417,7.182351296739248,0.7023109867389085,-1.0700184796629437,4.573415539491827,1.64574560010892,-0.3182038979204096,-0.7147243899301412,0.7430783039286697,-0.3240659666518267,-0.3675870203048818,-1.5115403263173537,-1.878333060564877,-1.296907283878697,0.8772332936555071,0.5238878383247022,-3.150196989907274
7.154901959985743,1.0152416625478935,O=C(O)Cc1ccc(Cl)c(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)nc4s3)CC2)c1,9.390277996056447,5.223074040622875,1.6895358698310112,-5.136445028011421,-2.1609239108775666,-1.1707067640309876,9.131588389905914,7.516003097112507,1.9599079966886375,1.8426825901389907,-0.3118445125238015,-1.3616493640577294,-0.5553573194243945,0.6480930577650436,5.696045193043037,1.0929940979309396,3.023113135596066,-3.3870894045645303,5.904011802791255
6.3872161432802645,1.0152416625478935,O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3=O)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,9.20376198446463,6.876732250291384,3.779433303556298,-8.600760223648406,-1.6806870056210004,-2.177227738463527,5.374288732618262,-0.5502194836350027,-1.6146679086831948,2.278293812909443,1.843744811084507,5.0981601440427955,1.4919363403846397,-1.2177214974821204,-3.572740632669427,-3.056644772650054,0.35243438470397115,3.1632592965979187,-2.655797046814498
6.769551078621726,1.0152416625478935,CC(C)C1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,12.664468017336969,0.32275591769791667,-5.6856139713541864,11.573838901941995,1.8518718396609852,-0.8063570850906585,3.66233571910343,0.9664837991792894,-3.212630038066691,0.7040616380872647,-0.76560298673609,2.1658024217086034,0.24250071666047157,-2.9672666291817396,-0.5944240624140243,-0.13057837798249558,-3.4777132088170974,-0.31340895608043595,2.7546044007043236
7.853871964321762,1.0152416625478935,O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,13.05061429083252,6.641072102473816,3.257444512878807,-9.918310477746246,-1.8285762300958681,-3.195057156740064,3.205290833495901,0.16920824563813422,-0.09335406587072897,1.2058644616351057,-0.2800444390697502,2.3458181680199055,1.2532224972440682,-0.6792356441038301,-1.2907542676457084,-0.9222879799207028,0.2519032220378223,2.9255350746786353,0.00929850610851975
7.552841968657781,1.0152416625478935,Cc1ccc(CC(=O)O)cc1OCCC1(N2CCCC2)CCN(c2nc3ccc(Cl)cc3s2)CC1,14.762341611257373,2.636828314456409,0.7827877037149173,-0.4861058862001084,1.0961104714814098,0.5170950916280208,-2.2445698067788618,4.832017476311647,2.8867486141842496,0.5179952087718009,-3.7920927894629055,-8.279698103183835,-0.34804831154441784,-0.35344864585657626,-4.615400386797626,2.683062460168486,-0.42642845238165605,0.6019052865851706,1.5442527169390028
7.346787486224656,1.0152416625478935,CN(C)C1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,15.921773093135823,1.7971140860184454,-0.4375800878675644,0.5570582111999469,0.7909684248820353,-2.412939831039023,-1.3255818397001078,-4.337580013417503,1.9111756663735264,-0.7659291796268777,0.6886331273825271,-1.6629941922055134,-1.6042936846741616,-6.752630329078787,2.7745006882494296,-0.5387752550866731,-6.69053162754016,-1.9567525903510916,-1.0393579180629378
7.468521082957745,1.0152416625478935,Cc1cc(CC(=O)O)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,16.41208633727846,1.66190733976475,3.0269478437734207,-0.9383242362045207,-0.10962749800043958,-1.5794878288475016,-2.5718833545889455,-0.921442367301555,2.7043126836473492,-0.039898145798323736,-0.8546102465209758,-8.012811803599941,-0.2853672408690286,-2.0529261367282836,-4.0560744560538255,0.7313640853428562,2.409747564733666,0.2894622880327246,2.185143288133684
