Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Wide
Family: nn
Endpoint: pEC50
Species: mus_musculus
Total Features: 2647
Top Features Count: 146
Cumulative Importance: 0.1998
================================================================================

                        feature  importance  importance_normalized  cumulative
                        RDF_180    0.011809               0.001145    0.163320
                 FP_RDKit512_15    0.011806               0.001144    0.164464
                 FP_RDKit512_95    0.011766               0.001141    0.165605
                FP_RDKit512_116    0.011762               0.001140    0.166745
                         RDF_58    0.011760               0.001140    0.167885
                    GETAWAY_211    0.011712               0.001135    0.169021
            FP_AtomPair1024_178    0.011680               0.001132    0.170153
                       AC2D_189    0.011638               0.001128    0.171281
             FP_AtomPair1024_19    0.011613               0.001126    0.172407
                         RDF_11    0.011567               0.001121    0.173528
            FP_Morgan1024_r2_59    0.011541               0.001119    0.174647
                        WHIM_67    0.011536               0.001118    0.175765
                FP_RDKit512_271    0.011512               0.001116    0.176881
                        RDF_198    0.011504               0.001115    0.177996
                       AC2D_174    0.011504               0.001115    0.179111
           FP_Morgan1024_r2_762    0.011492               0.001114    0.180226
                FP_RDKit512_229    0.011463               0.001111    0.181337
                        AC3D_37    0.011450               0.001110    0.182447
            FP_AtomPair1024_905    0.011443               0.001109    0.183556
       FP_MorganFeat1024_r2_550    0.011443               0.001109    0.184665
           FP_Morgan1024_r2_968    0.011409               0.001106    0.185771
                         RDF_40    0.011250               0.001091    0.186862
            FP_AtomPair1024_517    0.011224               0.001088    0.187950
           FP_Morgan1024_r2_896    0.011200               0.001086    0.189036
                        WHIM_36    0.011187               0.001084    0.190120
                     GETAWAY_75    0.011161               0.001082    0.191202
                         AC2D_1    0.011135               0.001079    0.192281
                FP_RDKit512_251    0.011134               0.001079    0.193361
                FP_RDKit512_497    0.011119               0.001078    0.194439
           FP_Morgan1024_r2_236    0.011106               0.001077    0.195515
                RDKit2D_MolLogP    0.011091               0.001075    0.196590
            FP_AtomPair1024_379    0.011086               0.001075    0.197665
                        AC2D_71    0.011017               0.001068    0.198733
                      MORSE_144    0.010997               0.001066    0.199799
