Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Tanh
Family: nn
Endpoint: pEC50
Species: mus_musculus
Total Features: 2647
Top Features Count: 188
Cumulative Importance: 0.2000
================================================================================

                    feature  importance  importance_normalized  cumulative
                    RDF_156    0.001597               0.000970    0.130068
                FP_MACCS_89    0.001597               0.000970    0.131037
                    RDF_186    0.001595               0.000969    0.132006
       RDKit2D_BCUT2D_CHGHI    0.001590               0.000966    0.132971
     FP_TopoTorsion1024_280    0.001582               0.000961    0.133932
        FP_AtomPair1024_896    0.001581               0.000960    0.134891
                    AC3D_24    0.001574               0.000956    0.135847
       FP_Morgan1024_r2_914    0.001574               0.000956    0.136803
                GETAWAY_151    0.001570               0.000953    0.137756
       FP_Morgan1024_r2_314    0.001569               0.000952    0.138709
         FP_AtomPair1024_63    0.001567               0.000951    0.139660
                    AC2D_51    0.001559               0.000946    0.140606
                   MORSE_88    0.001557               0.000945    0.141551
            FP_RDKit512_351    0.001556               0.000945    0.142496
        FP_AtomPair1024_400    0.001554               0.000944    0.143440
         FP_AtomPair1024_94    0.001549               0.000941    0.144380
            FP_RDKit512_272    0.001546               0.000938    0.145319
                    WHIM_35    0.001540               0.000935    0.146254
     FP_TopoTorsion1024_816    0.001540               0.000935    0.147189
          Pharm2D_Gobbi_131    0.001539               0.000935    0.148123
                    AC2D_67    0.001539               0.000934    0.149058
        FP_Morgan1024_r2_42    0.001531               0.000930    0.149987
  RDKit2D_MinAbsEStateIndex    0.001530               0.000929    0.150917
       FP_Morgan1024_r2_664    0.001525               0.000926    0.151842
            FP_RDKit512_241    0.001521               0.000924    0.152766
       FP_Morgan1024_r2_323    0.001521               0.000923    0.153690
     FP_TopoTorsion1024_520    0.001520               0.000923    0.154613
            FP_RDKit512_155    0.001518               0.000922    0.155535
       FP_Morgan1024_r2_698    0.001517               0.000921    0.156456
             RDKit2D_fr_NH0    0.001517               0.000921    0.157377
                GETAWAY_270    0.001515               0.000920    0.158297
                     AC2D_3    0.001511               0.000918    0.159215
        FP_AtomPair1024_904    0.001511               0.000917    0.160132
                GETAWAY_173    0.001506               0.000915    0.161046
   FP_MorganFeat1024_r2_825    0.001499               0.000910    0.161957
             RDKit2D_Kappa1    0.001498               0.000910    0.162866
          FP_AtomPair1024_8    0.001498               0.000910    0.163776
               FP_MACCS_131    0.001494               0.000907    0.164683
        FP_AtomPair1024_712    0.001494               0.000907    0.165590
            FP_RDKit512_170    0.001486               0.000902    0.166492
            FP_RDKit512_407    0.001485               0.000901    0.167394
                    AC3D_15    0.001484               0.000901    0.168295
            FP_RDKit512_277    0.001482               0.000900    0.169194
                    RDF_104    0.001482               0.000900    0.170094
        FP_AtomPair1024_698    0.001480               0.000898    0.170992
                   MORSE_37    0.001480               0.000898    0.171891
                   AC2D_165    0.001479               0.000898    0.172789
                   AC2D_134    0.001477               0.000897    0.173686
                     AC3D_6    0.001477               0.000897    0.174582
            FP_RDKit512_480    0.001474               0.000895    0.175477
        FP_AtomPair1024_385    0.001470               0.000893    0.176370
            FP_RDKit512_377    0.001470               0.000892    0.177262
                    RDF_202    0.001469               0.000892    0.178154
        FP_AtomPair1024_632    0.001465               0.000889    0.179043
                  MORSE_181    0.001464               0.000889    0.179932
        FP_AtomPair1024_641    0.001463               0.000888    0.180820
       Phys_Count_Pos_Atoms    0.001461               0.000887    0.181707
                  MORSE_180    0.001455               0.000884    0.182591
                      RDF_2    0.001452               0.000882    0.183472
             FP_RDKit512_32    0.001450               0.000880    0.184352
        FP_AtomPair1024_587    0.001449               0.000880    0.185232
                     AC3D_7    0.001449               0.000880    0.186112
                GETAWAY_237    0.001448               0.000879    0.186992
         FP_Morgan1024_r2_0    0.001442               0.000876    0.187867
         FP_AtomPair1024_52    0.001441               0.000875    0.188742
        FP_AtomPair1024_353    0.001440               0.000874    0.189616
        FP_AtomPair1024_957    0.001438               0.000873    0.190490
                    AC2D_17    0.001436               0.000872    0.191361
                  MORSE_200    0.001429               0.000867    0.192229
            FP_RDKit512_300    0.001425               0.000865    0.193094
        FP_AtomPair1024_120    0.001422               0.000863    0.193957
       Dock_RotBond_Penalty    0.001420               0.000862    0.194820
        FP_AtomPair1024_584    0.001420               0.000862    0.195682
       RDKit2D_BCUT2D_MWLOW    0.001416               0.000860    0.196542
            FP_RDKit512_400    0.001415               0.000859    0.197401
                  MORSE_199    0.001413               0.000858    0.198259
                     WHIM_8    0.001409               0.000856    0.199115
                   AC2D_118    0.001408               0.000855    0.199970
