Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Large
Family: nn
Endpoint: pEC50
Species: mus_musculus
Total Features: 2647
Top Features Count: 190
Cumulative Importance: 0.1994
================================================================================

                  feature  importance  importance_normalized  cumulative
                 AC2D_109    0.004363               0.000966    0.129878
          FP_RDKit512_451    0.004361               0.000966    0.130844
      FP_AtomPair1024_436    0.004358               0.000965    0.131808
      FP_AtomPair1024_504    0.004341               0.000961    0.132770
      RDKit2D_SlogP_VSA12    0.004319               0.000956    0.133726
                    RDF_8    0.004310               0.000954    0.134680
     FP_Morgan1024_r2_417    0.004305               0.000953    0.135634
      FP_AtomPair1024_909    0.004301               0.000952    0.136586
                 AC2D_147    0.004298               0.000952    0.137538
      FP_AtomPair1024_861    0.004268               0.000945    0.138483
               GETAWAY_97    0.004262               0.000944    0.139426
            RDKit2D_Chi0v    0.004261               0.000944    0.140370
                 MORSE_19    0.004257               0.000943    0.141312
              GETAWAY_272    0.004256               0.000942    0.142255
              FP_MACCS_95    0.004255               0.000942    0.143197
                 AC2D_164    0.004255               0.000942    0.144139
   FP_TopoTorsion1024_564    0.004248               0.000941    0.145080
                   RDF_71    0.004216               0.000933    0.146013
       FP_AtomPair1024_66    0.004213               0.000933    0.146946
     FP_Morgan1024_r2_136    0.004210               0.000932    0.147878
                 AC2D_117    0.004208               0.000932    0.148810
      FP_AtomPair1024_878    0.004206               0.000931    0.149741
      FP_AtomPair1024_670    0.004201               0.000930    0.150671
     FP_Morgan1024_r2_494    0.004188               0.000927    0.151599
                 MORSE_46    0.004180               0.000926    0.152524
     FP_Morgan1024_r2_968    0.004170               0.000923    0.153448
              FP_MACCS_59    0.004168               0.000923    0.154370
                  AC2D_69    0.004168               0.000923    0.155293
                  AC2D_42    0.004167               0.000923    0.156216
          FP_RDKit512_333    0.004134               0.000915    0.157131
        Pharm2D_Gobbi_117    0.004132               0.000915    0.158046
RDKit2D_MaxAbsEStateIndex    0.004131               0.000915    0.158961
          FP_RDKit512_190    0.004111               0.000910    0.159871
           FP_RDKit512_23    0.004104               0.000909    0.160780
FP_MorganFeat1024_r2_1016    0.004104               0.000909    0.161689
       RDKit2D_ExactMolWt    0.004097               0.000907    0.162596
      FP_AtomPair1024_201    0.004076               0.000902    0.163498
      FP_AtomPair1024_908    0.004067               0.000901    0.164399
                  AC3D_18    0.004062               0.000899    0.165298
              GETAWAY_131    0.004054               0.000898    0.166196
 FP_MorganFeat1024_r2_865    0.004049               0.000896    0.167092
                  RDF_156    0.004044               0.000895    0.167987
                  AC3D_28    0.004043               0.000895    0.168883
             FP_MACCS_142    0.004034               0.000893    0.169776
                   AC2D_6    0.004026               0.000891    0.170667
   FP_TopoTorsion1024_576    0.004009               0.000888    0.171555
 FP_MorganFeat1024_r2_577    0.004004               0.000887    0.172441
             FP_MACCS_118    0.004000               0.000886    0.173327
                  WHIM_16    0.003992               0.000884    0.174211
      FP_AtomPair1024_778    0.003986               0.000883    0.175094
                 MORSE_64    0.003978               0.000881    0.175975
                   RDF_33    0.003977               0.000880    0.176855
          FP_RDKit512_174    0.003976               0.000880    0.177736
                 MORSE_50    0.003971               0.000879    0.178615
               GETAWAY_98    0.003970               0.000879    0.179494
          FP_RDKit512_229    0.003958               0.000876    0.180370
        FP_AtomPair1024_8    0.003954               0.000876    0.181246
      FP_AtomPair1024_488    0.003951               0.000875    0.182121
                MORSE_109    0.003950               0.000875    0.182996
             RDKit2D_Chi1    0.003936               0.000871    0.183867
      FP_AtomPair1024_301    0.003935               0.000871    0.184738
              GETAWAY_174    0.003934               0.000871    0.185609
              RDKit2D_SPS    0.003929               0.000870    0.186479
      FP_AtomPair1024_917    0.003927               0.000869    0.187349
      FP_AtomPair1024_232    0.003921               0.000868    0.188217
          FP_RDKit512_141    0.003917               0.000867    0.189084
