average,sample_weight,SMILES,FP_MACCS_36,FP_RDKit512_377,FP_RDKit512_7,FP_TopoTorsion1024_232,FP_AtomPair1024_970,FP_MACCS_123,FP_RDKit512_177,FP_RDKit512_436,FP_RDKit512_50,RDKit2D_EState_VSA4,FP_MACCS_85,FP_RDKit512_240,Pharm2D_Gobbi_112,FP_TopoTorsion1024_733,FP_Morgan1024_r2_713,MORSE_187,FP_RDKit512_104,FP_Morgan1024_r2_206,FP_RDKit512_375,AC3D_68,FP_MorganFeat1024_r2_131,FP_RDKit512_426,RDKit2D_fr_Al_COO,FP_AtomPair1024_246,FP_RDKit512_243,FP_RDKit512_378,FP_RDKit512_485,FP_TopoTorsion1024_732,Pharm2D_Gobbi_129,RDKit2D_BCUT2D_CHGLO,Pharm2D_Gobbi_41,FP_RDKit512_139,AC3D_64,FP_RDKit512_346,FP_RDKit512_344,FP_AtomPair1024_242,FP_RDKit512_497,FP_RDKit512_117
5.886056647693163,1.0093538704045897,Cc1ccc(NC(=O)CCC2CCCCC2)cc1-c1nc2ccccc2[nH]1,0.0,0.0,0.7745966692414834,0.0,0.0,-1.3760875776187342,-1.1596670152276025,0.8885233166386385,0.0,0.6529895702014096,-1.2322818340454906,-1.2322818340454909,0.0,0.0,-0.5773502691896258,-1.399973228977428,0.611340636419152,0.0,0.0,-0.8082142768013246,0.6684373647831918,-1.35400640077266,-0.5773502691896258,0.0,1.2909944487358056,-0.9568139619311997,0.0,0.0,0.0,0.5607864735933072,0.0,0.0,0.14907495479764457,0.0,1.2514142942483342,0.9289853059279987,-1.35400640077266,0.6684373647831918
5.698970004336019,1.0093538704045897,Cc1ccc(C(=O)NCCC2CCCCC2)cc1NC(=O)c1ccc(O)cc1,0.0,0.0,-1.2909944487358056,0.0,0.0,-1.3760875776187342,-1.1596670152276025,-1.1254628677422756,0.0,-0.7589008747020134,-1.2322818340454906,-1.2322818340454909,0.0,0.0,-0.5773502691896258,0.7854175651015196,-1.635749270418812,0.0,0.0,-0.37503885313081414,-1.4960264830861911,-1.35400640077266,-0.5773502691896258,0.0,-0.7745966692414834,-0.9568139619311997,0.0,0.0,0.0,0.524259587045724,0.0,0.0,0.12383555763670209,0.0,1.2514142942483342,0.9289853059279987,-1.35400640077266,-1.4960264830861911
5.886056647693163,1.0093538704045897,Cc1ccc2nc(-c3cc(NC(=O)CCC4CCCCC4)ccc3C)[nH]c2c1,0.0,0.0,0.7745966692414834,0.0,0.0,-1.3760875776187342,-1.1596670152276025,0.8885233166386385,0.0,0.6529895702014096,-1.2322818340454906,-1.2322818340454909,0.0,0.0,-0.5773502691896258,-1.1183507039672542,0.611340636419152,0.0,0.0,-0.5996327255202909,0.6684373647831918,-1.35400640077266,-0.5773502691896258,0.0,1.2909944487358056,-0.9568139619311997,0.0,0.0,0.0,0.5607847541145816,0.0,0.0,-0.05215807662068103,0.0,1.2514142942483342,-1.0764432909959347,0.7385489458759963,0.6684373647831918
5.698970004336019,1.0093538704045897,Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccccc1,0.0,0.0,-1.2909944487358056,0.0,0.0,-1.3760875776187342,-1.1596670152276025,-1.1254628677422756,0.0,-0.7704798398245241,-1.2322818340454906,-1.2322818340454909,0.0,0.0,-0.5773502691896258,1.0445102881108796,-1.635749270418812,0.0,0.0,-0.20058882842304013,-1.4960264830861911,-1.35400640077266,-0.5773502691896258,0.0,1.2909944487358056,-0.9568139619311997,0.0,0.0,0.0,0.5571239839098181,0.0,0.0,0.35917588251576105,0.0,1.2514142942483342,0.9289853059279987,-1.35400640077266,-1.4960264830861911
6.154901959985743,1.0093538704045897,Cc1ccc(NC(=O)CCC2CCCCC2)cc1/C=C(\C#N)c1ccc2c(c1)OCO2,0.0,0.0,-1.2909944487358056,0.0,0.0,0.7266979342480956,-1.1596670152276025,-1.1254628677422756,0.0,-0.21157813169265358,-1.2322818340454906,-1.2322818340454909,0.0,0.0,-0.5773502691896258,0.5713844460937876,-1.635749270418812,0.0,0.0,-0.07417576704059546,-1.4960264830861911,-1.35400640077266,-0.5773502691896258,0.0,1.2909944487358056,-0.9568139619311997,0.0,0.0,0.0,0.5610100058275115,0.0,0.0,-0.16744072851795916,0.0,1.2514142942483342,0.9289853059279987,-1.35400640077266,0.6684373647831918
6.154901959985743,1.0093538704045897,Cc1ccc(NC(=O)CCC2CCCCC2)cc1-c1nc2ccc(O)cc2[nH]1,0.0,0.0,0.7745966692414834,0.0,0.0,-1.3760875776187342,-1.1596670152276025,0.8885233166386385,0.0,0.3557347512857589,-1.2322818340454906,-1.2322818340454909,0.0,0.0,-0.5773502691896258,-2.109661992003066,0.611340636419152,0.0,0.0,-0.8861689979871655,0.6684373647831918,-1.35400640077266,-0.5773502691896258,0.0,1.2909944487358056,-0.9568139619311997,0.0,0.0,0.0,0.5607890528113938,0.0,0.0,-0.07125816095869161,0.0,1.2514142942483342,-1.0764432909959347,-1.35400640077266,0.6684373647831918
6.0,1.0093538704045897,Cc1ccc(NC(=O)CCC2CCCCC2)cc1/C=C(\C#N)c1cccnc1,0.0,0.0,-1.2909944487358056,0.0,0.0,-1.3760875776187342,-1.1596670152276025,-1.1254628677422756,0.0,-0.21157813169265358,-1.2322818340454906,-1.2322818340454909,0.0,0.0,-0.5773502691896258,-0.9493771889611503,0.611340636419152,0.0,0.0,-0.3586051551510961,0.6684373647831918,-1.35400640077266,-0.5773502691896258,0.0,1.2909944487358056,-0.9568139619311997,0.0,0.0,0.0,0.5611191927265271,0.0,0.0,0.28550412864057706,0.0,1.2514142942483342,0.9289853059279987,-1.35400640077266,0.6684373647831918
5.769551078621726,1.0093538704045897,Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(O)cc1,0.0,0.0,-1.2909944487358056,0.0,0.0,-1.3760875776187342,-1.1596670152276025,-1.1254628677422756,0.0,-1.0561559447664826,-1.2322818340454906,-1.2322818340454909,0.0,0.0,-0.5773502691896258,0.8417420701035544,-1.635749270418812,0.0,0.0,-0.5001877838994343,-1.4960264830861911,-1.35400640077266,-0.5773502691896258,0.0,1.2909944487358056,-0.9568139619311997,0.0,0.0,0.0,0.5570543450214696,0.0,0.0,-0.08558322421219948,0.0,1.2514142942483342,0.9289853059279987,-1.35400640077266,-1.4960264830861911
5.42021640338319,1.0093538704045897,Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(N)cc1,0.0,0.0,-1.2909944487358056,0.0,0.0,-1.3760875776187342,-1.1596670152276025,-1.1254628677422756,0.0,-1.0561559447664826,-1.2322818340454906,-1.2322818340454909,0.0,0.0,-0.5773502691896258,1.5063712291275642,-1.635749270418812,0.0,0.0,-0.48206857843461737,-1.4960264830861911,-1.35400640077266,-0.5773502691896258,0.0,1.2909944487358056,-0.9568139619311997,0.0,0.0,0.0,0.5570147970108026,0.0,0.0,-0.08012605725848217,0.0,1.2514142942483342,0.9289853059279987,-1.35400640077266,-1.4960264830861911
5.119186407719209,1.0093538704045897,Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c1ccc(CO)cc1,0.0,0.0,-1.2909944487358056,0.0,0.0,-1.3760875776187342,-1.1596670152276025,-1.1254628677422756,0.0,-0.7767051158154293,-1.2322818340454906,-1.2322818340454909,0.0,0.0,-0.5773502691896258,1.0107155851096588,-1.635749270418812,0.0,0.0,-0.5368475717003434,-1.4960264830861911,-1.35400640077266,-0.5773502691896258,0.0,1.2909944487358056,-0.9568139619311997,0.0,0.0,0.0,0.5569537555160784,0.0,0.0,-0.23360887783178147,0.0,1.2514142942483342,0.9289853059279987,-1.35400640077266,-1.4960264830861911
