SMILES,pEC50,pEC50-min,pEC50-max
CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)cc(CCC)c1OC/C=C/CN1C(=O)NC(C)(c2ccc(OC(C)C)cc2)C1=O,5.91,5.910094888560602,5.910094888560602
CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)cc(CCC)c1OCC#CCN1C(=O)NC(C)(c2ccc(OC(C)C)cc2)C1=O,6.07,6.065501548756432,6.065501548756432
CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1cccc(CN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c1,5.71,5.707743928643524,5.707743928643524
CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(C(=O)CN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c(C)c1,6.40,6.3979400086720375,6.3979400086720375
CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(C(=O)CN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c(OC)c1,5.43,5.427128397799519,5.427128397799519
CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(C(=O)CN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c(O)c1,6.47,6.468521082957745,6.468521082957745
CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(C(=O)CN2C(=O)NC(C)(c3ccc(OC(C)C)cn3)C2=O)c(O)c1,6.48,6.481486060122112,6.481486060122112
CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(C(=O)CN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)cc1,6.44,6.443697499232712,6.443697499232712
CCCc1c(OCCCCN2C(=O)NC(C)(c3ccc(OC)cc3)C2=O)ccc2c(C(F)(F)F)cc(=O)oc12,5.85,5.853871964321762,5.853871964321762
CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(CN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)cc1,5.74,5.742321425130816,5.742321425130816
CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(CCN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)cc1,5.73,5.72584215073632,5.72584215073632
CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(CCN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c(OC)c1,5.78,5.779891911959945,5.779891911959945
CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(CCN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c(O)c1,5.54,5.542118103266008,5.542118103266008
CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(C(O)CN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)cc1,5.63,5.632644078973981,5.632644078973981
