average,sample_weight,SMILES,AC3D_28,FP_RDKit512_43,FP_AtomPair1024_19,AC3D_48,FP_RDKit512_506,FP_RDKit512_210,GETAWAY_203,FP_RDKit512_290,FP_RDKit512_38,FP_MACCS_89,GETAWAY_149,FP_TopoTorsion1024_520,AC2D_66,FP_RDKit512_160,FP_RDKit512_207,RDKit2D_fr_Al_COO,MORSE_41,AC3D_77,FP_MACCS_140,AC3D_47,FP_MorganFeat1024_r2_1016,FP_RDKit512_288,FP_TopoTorsion1024_532,FP_AtomPair1024_437,RDKit2D_NumAmideBonds,FP_Morgan1024_r2_206,RDF_34,FP_AtomPair1024_1001,FP_RDKit512_87,FP_RDKit512_275,RDKit2D_PEOE_VSA13,AC2D_78,AC2D_18,FP_Morgan1024_r2_884,AC3D_49,FP_Morgan1024_r2_914,FP_RDKit512_379,FP_Morgan1024_r2_314
4.849485002168009,0.2531585351532043,Cn1cc(C(=O)O)c2ccc(N3CCC(OCc4c(-c5c(Cl)cccc5Cl)noc4C4CC4)CC3)cc21,-1.3859532156708705,1.2773327473170102,1.2773327473170104,-1.0597887661791336,0.9607689228305228,1.0834726777719228,0.3936253681838366,0.9229582069908973,-1.224744871391589,1.3333333333333335,0.7462240200793203,-1.224744871391589,-0.5399074194567837,-1.3333333333333333,1.1751393027860064,-1.0,0.3720655932592751,-1.0388030121744178,1.0408329997330663,-0.7448775057249003,0.8864052604279183,-1.2773327473170104,-0.7828813612588128,1.0408329997330663,-0.9058494316768033,-0.9607689228305227,-0.24693540384038928,1.3932610920384718,1.2773327473170102,0.960768922830523,-0.9285121882999731,-0.6900191998196356,-0.08694112107351225,-0.7500000000000001,-0.8956413477478646,-1.0,1.0408329997330663,-0.75
7.119186407719209,1.0152416625478935,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2C)ccc1OCC(=O)O,-0.21531488909296165,-0.7828813612588128,-0.7828813612588126,-0.19506474482585115,-1.0408329997330663,1.0834726777719228,-0.19652997889239765,0.9229582069908973,-1.224744871391589,-0.7500000000000001,-0.4869361147247085,0.816496580927726,-0.2947358949601479,0.7499999999999999,1.1751393027860064,1.0,-1.1050557815732944,-0.31748777580502113,-0.960768922830523,-0.3631417541576768,0.8864052604279183,-1.2773327473170104,-0.7828813612588128,1.0408329997330663,-0.9058494316768033,-0.9607689228305227,-2.749151798860676,-0.7177405625652736,1.2773327473170102,-1.0408329997330665,-0.9285121882999731,0.46999155709015045,-1.8047681463434064,-0.7500000000000001,0.03956289959698665,-1.0,-0.9607689228305227,-0.75
7.309803919971486,1.0152416625478935,O=C(O)Cc1ccc(Cl)c(OCCC2CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,-0.44293703614483126,-0.7828813612588128,-0.7828813612588126,-0.12748599074070163,-1.0408329997330663,-0.9229582069908971,-0.6204194385269846,-1.0834726777719228,0.816496580927726,-0.7500000000000001,-0.6153997140083208,0.816496580927726,-0.9496265477542873,0.7499999999999999,-0.850962943396763,1.0,-0.7338448232321471,-0.11078196813723808,-0.960768922830523,0.09900785871596181,-1.1281521496355325,0.7828813612588127,-0.7828813612588128,-0.9607689228305227,-0.9058494316768033,1.0408329997330663,-1.4233336735083562,-0.7177405625652736,-0.7828813612588128,-1.0408329997330665,-0.9285121882999731,-1.0793823675868812,-1.9761721613959256,-0.7500000000000001,0.2975039634094142,1.0,-0.9607689228305227,-0.75
7.154901959985743,1.0152416625478935,O=C(O)Cc1ccc(Cl)c(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)nc4s3)CC2)c1,0.5242241778540161,-0.7828813612588128,-0.7828813612588126,0.44462266163452074,-1.0408329997330663,-0.9229582069908971,-0.881322085401993,-1.0834726777719228,0.816496580927726,-0.7500000000000001,-1.5112140659314524,0.816496580927726,-0.08472618023871409,0.7499999999999999,-0.850962943396763,1.0,-0.44882670568218713,0.4954938874045926,-0.960768922830523,0.3855291634194076,-1.1281521496355325,0.7828813612588127,-0.7828813612588128,-0.9607689228305227,-0.9058494316768033,1.0408329997330663,0.9819143839558472,-0.7177405625652736,-0.7828813612588128,-1.0408329997330665,-0.9285121882999731,0.15131941459951342,-0.17457441112825972,-0.7500000000000001,0.44165892295026515,1.0,-0.9607689228305227,-0.75
6.3872161432802645,1.0152416625478935,O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3=O)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,0.8810167245684377,-0.7828813612588128,1.2773327473170104,0.7436545812488646,0.9607689228305228,1.0834726777719228,-0.49833836487586664,0.9229582069908973,0.816496580927726,-0.7500000000000001,-0.7460184713022207,0.816496580927726,0.036946340235536376,0.7499999999999999,-0.850962943396763,1.0,0.34157125260668925,0.555927701543243,1.0408329997330663,0.34294161486204483,0.8864052604279183,0.7828813612588127,1.2773327473170102,-0.9607689228305227,0.2317415176764854,1.0408329997330663,0.06964052480071489,-0.7177405625652736,-0.7828813612588128,-1.0408329997330665,-0.9285121882999731,-0.09628827606209485,-0.10430696173728354,-0.7500000000000001,0.784586012111509,1.0,-0.9607689228305227,1.3333333333333335
6.769551078621726,1.0152416625478935,CC(C)C1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,0.3060396938935784,-0.7828813612588128,-0.7828813612588126,0.5201553573123847,-1.0408329997330663,-0.9229582069908971,-0.07579438520179302,-1.0834726777719228,0.816496580927726,-0.7500000000000001,0.42907610908553573,0.816496580927726,-0.9293878621304525,0.7499999999999999,-0.850962943396763,1.0,-1.313004331351281,0.678013943560855,-0.960768922830523,0.9158395854400616,-1.1281521496355325,0.7828813612588127,-0.7828813612588128,-0.9607689228305227,-0.9058494316768033,1.0408329997330663,-0.26038409271643725,-0.7177405625652736,-0.7828813612588128,-1.0408329997330665,-0.9285121882999731,-1.0039150344092824,-1.0646350697126805,-0.7500000000000001,0.5650535137388806,1.0,-0.9607689228305227,-0.75
7.853871964321762,1.0152416625478935,O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,1.0775656840921877,-0.7828813612588128,-0.7828813612588126,0.960527423106594,-1.0408329997330663,-0.9229582069908971,-0.6567424247410516,-1.0834726777719228,0.816496580927726,-0.7500000000000001,-0.8551295580623636,0.816496580927726,-0.2142227332364315,0.7499999999999999,-0.850962943396763,1.0,-0.28485201732681614,0.8120255641275864,-0.960768922830523,0.6439859180261226,-1.1281521496355325,0.7828813612588127,-0.7828813612588128,-0.9607689228305227,-0.9058494316768033,1.0408329997330663,-0.7613380174424758,-0.7177405625652736,-0.7828813612588128,-1.0408329997330665,-0.9285121882999731,-0.253816309091121,-0.36027527004869414,-0.7500000000000001,0.9067471774594713,1.0,-0.9607689228305227,-0.75
7.552841968657781,1.0152416625478935,Cc1ccc(CC(=O)O)cc1OCCC1(N2CCCC2)CCN(c2nc3ccc(Cl)cc3s2)CC1,1.002700505858035,-0.7828813612588128,-0.7828813612588126,1.0263349929440877,-1.0408329997330663,-0.9229582069908971,-1.1284883576958735,-1.0834726777719228,0.816496580927726,-0.7500000000000001,-0.9576441440931556,0.816496580927726,-1.1641433721805154,0.7499999999999999,-0.850962943396763,1.0,-0.4425173754151861,1.0745210546389967,-0.960768922830523,1.1561293374284676,-1.1281521496355325,0.7828813612588127,-0.7828813612588128,-0.9607689228305227,-0.9058494316768033,1.0408329997330663,-0.33073890177203535,-0.7177405625652736,-0.7828813612588128,-1.0408329997330665,-0.9285121882999731,-1.0502337938015591,-0.9254301962058875,-0.7500000000000001,0.9661424773846325,1.0,-0.9607689228305227,-0.75
7.346787486224656,1.0152416625478935,CN(C)C1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,0.9193044002458929,-0.7828813612588128,-0.7828813612588126,1.020395238715679,-1.0408329997330663,-0.9229582069908971,-0.7998210593849021,-1.0834726777719228,0.816496580927726,-0.7500000000000001,-0.6382966745200745,0.816496580927726,-0.9962971933086175,0.7499999999999999,-0.850962943396763,1.0,-1.0436034050504217,0.9372638874976567,-0.960768922830523,0.8716886347759751,-1.1281521496355325,0.7828813612588127,-0.7828813612588128,-0.9607689228305227,-0.9058494316768033,1.0408329997330663,-0.833158760543876,-0.7177405625652736,-0.7828813612588128,-1.0408329997330665,-0.9285121882999731,-1.155880642016949,-1.1694785026150054,-0.7500000000000001,0.5917492325968313,1.0,-0.9607689228305227,-0.75
7.468521082957745,1.0152416625478935,Cc1cc(CC(=O)O)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,1.3474802490213147,-0.7828813612588128,-0.7828813612588126,1.296739726539438,-1.0408329997330663,-0.9229582069908971,-1.2860023248581018,-1.0834726777719228,0.816496580927726,-0.7500000000000001,-1.1984018411068256,0.816496580927726,-1.2071979002752138,0.7499999999999999,-0.850962943396763,1.0,-0.8295319202238056,1.202615256323548,-0.960768922830523,1.1830155099261848,-1.1281521496355325,0.7828813612588127,-0.7828813612588128,-0.9607689228305227,-0.9058494316768033,1.0408329997330663,-0.589297162940558,-0.7177405625652736,-0.7828813612588128,-1.0408329997330665,-0.9285121882999731,-1.121427760677695,-1.0386519347035366,-0.7500000000000001,1.3451512134399413,1.0,-0.9607689228305227,-0.75
