SMILES,MORSE_192,AC2D_91,AC2D_89,RDF_187,AC2D_93,AC2D_95,AC2D_92,RDF_185,RDF_184,RDKit2D_EState_VSA4,MORSE_197,RDKit2D_SMR_VSA10,GETAWAY_128,RDKit2D_EState_VSA2,RDF_35,GETAWAY_258,FP_TopoTorsion1024_816,FP_AtomPair1024_19,RDKit2D_VSA_EState7,RDKit2D_NumAmideBonds,FP_TopoTorsion1024_532,RDKit2D_PEOE_VSA13,AC3D_47,FP_MACCS_89,GETAWAY_203,FP_RDKit512_400,FP_Morgan1024_r2_314,FP_RDKit512_38,FP_MACCS_65,FP_TopoTorsion1024_520,GETAWAY_209,FP_RDKit512_210,RDKit2D_fr_imide,FP_RDKit512_160,GETAWAY_113,FP_Morgan1024_r2_556,MORSE_41,FP_RDKit512_288,AC3D_48,FP_AtomPair1024_685,FP_RDKit512_5,FP_MorganFeat1024_r2_349,AC2D_186,AC2D_34,FP_RDKit512_134,FP_RDKit512_509,FP_AtomPair1024_1001,AC2D_2,FP_RDKit512_207,FP_RDKit512_506,RDKit2D_VSA_EState4,FP_RDKit512_0,Phys_Count_Neg_Atoms,AC3D_78,Phys_Count_Pos_Atoms,Pharm2D_Gobbi_69,RDF_94,AC3D_46,AC2D_68,FP_RDKit512_29,GETAWAY_150,FP_MorganFeat1024_r2_713,FP_RDKit512_281,AC3D_7,FP_RDKit512_87,Ion_BasicNitrogenCount,FP_MorganFeat1024_r2_131,RDKit2D_BCUT2D_CHGHI,FP_RDKit512_290,FP_MACCS_140,FP_AtomPair1024_94,FP_RDKit512_172,RDKit2D_fr_Al_COO,FP_Morgan1024_r2_62,RDKit2D_fr_Al_OH,MORSE_38,AC2D_69,FP_Morgan1024_r2_968,FP_AtomPair1024_957,FP_AtomPair1024_93,FP_RDKit512_30,FP_AtomPair1024_437,FP_MACCS_117,GETAWAY_55,FP_RDKit512_416,FP_RDKit512_415,FP_RDKit512_503,RDKit2D_BCUT2D_MRLOW,FP_Morgan1024_r2_255,FP_RDKit512_241,FP_RDKit512_374,FP_MACCS_101,average,sample_weight
O=C(O)Cc1cc(Cl)cc(OCCC2(C3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,2929.406,78.499,79.773,62.049,73.434,57.187,54.722,42.615,19.537,58.640697,12.745,55.85615,7.577,11.835813,4.825,3.779,1.0,0.0,8.469793,0.0,0.0,0.0,0.63,0.0,1.112,1.0,0.0,1.0,1.0,1.0,20.19,0.0,0.0,1.0,25.577,0.0,0.376,1.0,0.638,0.0,1.0,1.0,0.616,4.067,1.0,0.0,0.0,4.281,0.0,0.0,1.9493434,1.0,5.0,0.677,4.0,1.0,6.526,0.534,0.304,0.0,0.827,0.0,1.0,0.637,0.0,2.0,1.0,2.4220457,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.813,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.277,0.0,0.0,0.0,-0.13572888,0.0,0.0,0.0,1.0,7.795880017344075,1.0152416625478935
O=C(O)Cc1cc(Cl)cc(OCCC2(C3CCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,3007.547,78.069,80.077,49.805,76.842,56.41,56.92,14.19,18.915,58.640697,21.262,55.85615,7.157,11.835813,4.062,4.16,1.0,0.0,9.815367,0.0,0.0,0.0,0.644,0.0,1.146,1.0,0.0,1.0,1.0,1.0,20.468,0.0,0.0,1.0,26.435,0.0,0.253,1.0,0.679,0.0,1.0,1.0,0.593,4.117,1.0,0.0,0.0,4.322,0.0,0.0,1.9420983,1.0,5.0,0.718,4.0,1.0,7.262,0.531,0.304,0.0,0.741,0.0,1.0,0.649,0.0,2.0,1.0,2.4154322,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.999,0.501,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,-0.1357291,0.0,0.0,0.0,1.0,7.537602002101044,1.0152416625478935
CCC(C)C1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,2852.265,75.365,77.488,72.377,72.481,53.487,52.142,55.484,13.68,59.143612,14.705,55.85615,6.287,11.835813,6.333,4.139,1.0,0.0,4.1774673,0.0,0.0,0.0,0.606,0.0,1.224,1.0,0.0,1.0,1.0,1.0,18.929,0.0,0.0,1.0,24.78,0.0,0.061,1.0,0.623,0.0,1.0,1.0,0.611,4.067,1.0,0.0,0.0,4.281,0.0,0.0,1.8524839,1.0,5.0,0.67,4.0,1.0,5.306,0.54,0.303,0.0,0.799,0.0,1.0,0.626,0.0,2.0,1.0,2.3861234,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.15,0.476,0.0,0.0,0.0,0.0,0.0,0.0,0.235,0.0,0.0,0.0,-0.1357288,0.0,0.0,0.0,1.0,7.585026652029182,1.0152416625478935
CC(C)CC1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,2852.265,73.059,81.861,63.867,76.282,62.203,54.772,23.343,11.904,59.143612,14.369,55.85615,6.989,11.835813,4.148,4.137,1.0,0.0,4.2150683,0.0,0.0,0.0,0.627,0.0,0.982,1.0,0.0,1.0,1.0,1.0,18.606,0.0,0.0,1.0,23.977,0.0,-0.314,1.0,0.612,0.0,1.0,1.0,0.647,4.014,1.0,0.0,0.0,4.239,0.0,0.0,1.8662647,1.0,5.0,0.656,4.0,1.0,3.916,0.527,0.291,0.0,0.724,0.0,1.0,0.638,0.0,2.0,1.0,2.3547168,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.13,0.491,0.0,0.0,0.0,0.0,0.0,0.0,0.258,0.0,0.0,0.0,-0.13572899,0.0,0.0,0.0,1.0,7.853871964321762,1.0152416625478935
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,3007.547,78.069,80.077,70.255,76.842,56.41,56.92,50.182,16.442,65.8123,15.169,55.85615,6.689,11.959747,6.378,4.191,1.0,0.0,6.7848573,0.0,0.0,0.0,0.606,0.0,1.054,1.0,0.0,1.0,1.0,1.0,19.306,0.0,0.0,1.0,25.508,0.0,0.425,1.0,0.661,0.0,1.0,1.0,0.593,4.136,1.0,0.0,0.0,4.33,0.0,0.0,1.7545983,1.0,6.0,0.718,4.0,1.0,7.759,0.511,0.334,0.0,0.705,0.0,1.0,0.645,0.0,3.0,1.0,2.4023018,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.944,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.0,0.0,0.0,-0.13572918,0.0,0.0,0.0,1.0,7.387216143280264,1.0152416625478935
CCCC1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,2701.983,67.271,74.017,41.749,55.594,61.657,59.393,19.307,25.216,65.56443,19.364,55.85615,4.835,11.835813,4.717,4.114,1.0,0.0,5.381935,0.0,0.0,0.0,0.535,0.0,1.134,1.0,0.0,1.0,1.0,1.0,19.712,0.0,0.0,1.0,24.051,0.0,-0.195,1.0,0.495,0.0,1.0,1.0,0.502,4.021,1.0,0.0,0.0,4.28,0.0,0.0,1.9230902,1.0,5.0,0.538,4.0,1.0,5.745,0.525,0.29,0.0,0.77,0.0,1.0,0.551,0.0,2.0,1.0,2.3424149,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.644,0.372,0.0,0.0,0.0,0.0,0.0,0.0,0.261,0.0,0.0,0.0,-0.13572952,0.0,0.0,0.0,1.0,7.481486060122112,1.0152416625478935
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,2929.406,78.499,79.773,59.244,73.434,57.187,54.722,55.149,15.023,65.8123,13.416,55.85615,5.748,11.959747,6.304,4.041,1.0,0.0,5.480951,0.0,0.0,0.0,0.624,0.0,0.995,1.0,0.0,1.0,1.0,1.0,18.918,0.0,0.0,1.0,24.898,0.0,0.837,1.0,0.65,0.0,1.0,1.0,0.616,4.082,1.0,0.0,0.0,4.288,0.0,0.0,1.7618434,1.0,6.0,0.71,4.0,1.0,6.592,0.533,0.333,0.0,0.702,0.0,1.0,0.663,0.0,3.0,1.0,2.407998,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.174,0.512,0.0,0.0,0.0,0.0,0.0,0.0,0.285,0.0,0.0,0.0,-0.13572894,0.0,0.0,0.0,1.0,7.481486060122112,1.0152416625478935
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,3086.688,77.62,80.354,63.467,79.837,55.525,58.785,33.487,17.636,65.8123,14.016,55.85615,6.386,11.959747,5.222,4.103,1.0,0.0,8.088764,0.0,0.0,0.0,0.58,0.0,1.206,1.0,0.0,1.0,1.0,1.0,20.233,0.0,0.0,1.0,26.847,0.0,0.79,1.0,0.658,0.0,1.0,1.0,0.563,4.202,1.0,0.0,0.0,4.384,0.0,0.0,1.7473531,1.0,6.0,0.711,4.0,1.0,8.962,0.481,0.335,0.0,0.712,0.0,1.0,0.613,0.0,3.0,1.0,2.39941,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.863,0.527,0.0,0.0,0.0,0.0,0.0,0.0,0.263,0.0,0.0,0.0,-0.1357294,0.0,0.0,0.0,1.0,7.0655015487564325,1.0152416625478935
O=C(O)Cc1ccc(Cl)c(OCCC2(C3CCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,3007.547,72.303,72.767,46.132,56.191,63.407,65.46,17.654,26.615,58.640697,19.336,55.85615,6.808,11.835813,4.718,3.464,1.0,0.0,9.790243,0.0,0.0,0.0,0.639,0.0,1.047,1.0,0.0,1.0,1.0,1.0,19.471,0.0,0.0,1.0,25.198,0.0,0.403,1.0,0.637,0.0,1.0,1.0,0.479,4.139,1.0,0.0,0.0,4.373,0.0,0.0,1.9680158,1.0,5.0,0.682,4.0,1.0,8.572,0.565,0.304,0.0,0.628,0.0,1.0,0.648,0.0,2.0,1.0,2.415773,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.138,0.396,0.0,0.0,0.0,0.0,0.0,0.0,0.297,0.0,0.0,0.0,-0.13573006,0.0,0.0,0.0,1.0,7.173925197299173,1.0152416625478935
CCC1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,2627.842,63.731,74.158,47.95,55.285,58.798,55.88,17.571,25.192,59.143612,18.61,55.85615,3.817,11.835813,3.273,4.188,1.0,0.0,4.1444507,0.0,0.0,0.0,0.544,0.0,1.167,1.0,0.0,1.0,1.0,1.0,18.352,0.0,0.0,1.0,22.916,0.0,0.542,1.0,0.481,0.0,1.0,1.0,0.508,4.003,1.0,0.0,0.0,4.266,0.0,0.0,1.9087306,1.0,5.0,0.53,4.0,1.0,6.494,0.562,0.287,0.0,0.701,0.0,1.0,0.568,0.0,2.0,1.0,2.3347557,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.839,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0.265,0.0,0.0,0.0,-0.13572927,0.0,0.0,0.0,1.0,6.795880017344075,1.0152416625478935
