SMILES,Tautomer_Score,Pharm2D_Gobbi_296,FP_Morgan1024_r2_233,FP_RDKit512_307,RDKit2D_fr_ether,FP_RDKit512_6,FP_Morgan1024_r2_210,FP_Morgan1024_r2_13,FP_RDKit512_102,FP_Morgan1024_r2_698,FP_RDKit512_106,RDKit2D_fr_benzene,Pharm2D_Gobbi_75,RDKit2D_fr_methoxy,FP_MACCS_136,FP_RDKit512_253,FP_TopoTorsion1024_761,FP_MACCS_76,FP_RDKit512_327,Pharm2D_Gobbi_76,FP_RDKit512_396,FP_Morgan1024_r2_525,FP_MorganFeat1024_r2_648,FP_RDKit512_101,AC2D_163,AC2D_115,FP_TopoTorsion1024_730,RDKit2D_BCUT2D_MRLOW,AC2D_98,FP_RDKit512_263,FP_AtomPair1024_865,RDKit2D_SlogP_VSA8,FP_TopoTorsion1024_868,FP_Morgan1024_r2_367,FP_RDKit512_183,FP_MACCS_116,RDKit2D_fr_allylic_oxid,AC2D_114,FP_Morgan1024_r2_897,FP_MACCS_99,Pharm2D_Gobbi_68,RDKit2D_MinAbsPartialCharge,AC2D_122,FP_RDKit512_478,FP_TopoTorsion1024_372,FP_TopoTorsion1024_376,RDKit2D_SPS,FP_RDKit512_60,FP_AtomPair1024_898,FP_AtomPair1024_697,FP_AtomPair1024_696,FP_MorganFeat1024_r2_646,FP_MorganFeat1024_r2_277,FP_RDKit512_184,FP_AtomPair1024_632,FP_RDKit512_109,FP_Morgan1024_r2_575,FP_Morgan1024_r2_681,Pharm2D_Gobbi_213,FP_RDKit512_97,FP_RDKit512_108,FP_RDKit512_16,AC2D_189,FP_AtomPair1024_720,FP_TopoTorsion1024_688,FP_RDKit512_180,RDKit2D_NumAromaticRings,FP_RDKit512_130,FP_TopoTorsion1024_413,FP_RDKit512_175,FP_AtomPair1024_250,FP_AtomPair1024_372,FP_AtomPair1024_381,FP_RDKit512_443,FP_TopoTorsion1024_500,RDKit2D_BCUT2D_MRHI,FP_AtomPair1024_113,RDKit2D_RingCount,FP_Morgan1024_r2_844,FP_RDKit512_260,FP_TopoTorsion1024_412,FP_MACCS_57,RDKit2D_SlogP_VSA11,FP_RDKit512_300,FP_AtomPair1024_33,FP_RDKit512_316,FP_AtomPair1024_373,FP_RDKit512_390,FP_TopoTorsion1024_869,FP_AtomPair1024_9,FP_RDKit512_99,FP_AtomPair1024_716,FP_MACCS_72,average,sample_weight
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCNC(=O)C[C@@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(N)=O)C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(=O)O)NC1=O)C(C)C,1407.0,6.120904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.259,-0.283,0.0,-0.13871026,0.027,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,1.0,0.30293566,0.086,0.0,0.0,1.0,17.555555,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.956,1.0,1.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0335593,1.0,8.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,6.120904120499928,1.0345132990659367
CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCNC(=O)C[C@@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](C(N)=O)C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(=O)O)NC1=O)[C@@H](C)O)C(C)C)[C@@H](C)O,1289.0,5.4089355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.187,-0.219,0.0,-0.13864958,0.035,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,1.0,0.30293566,0.102,0.0,0.0,1.0,18.942623,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.91,1.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.01757,1.0,7.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5.4089353929735005,1.0345132990659367
CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)C(C)C)[C@@H](C)O)C(C)C)[C@@H](C)O,1309.0,5.79588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.195,-0.24,0.0,-0.14159867,0.024,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.30548108,0.088,0.0,0.0,1.0,14.946667,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.912,1.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0284977,1.0,6.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5.795880017344075,1.0345132990659367
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@@H](CCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)C(C)C)C(C)C,1427.0,6.578396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.251,-0.291,0.0,-0.14161652,0.017,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,1.0,0.30548108,0.076,0.0,0.0,1.0,14.472222,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.964,1.0,1.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0439167,1.0,7.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,6.578396073130168,1.0345132990659367
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCNC(=O)C[C@@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(=O)O)NC1=O)C(C)C,1422.0,7.7212462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.289,-0.298,0.0,-0.13873518,0.028,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,1.0,0.30293566,0.087,0.0,0.0,1.0,17.13889,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.979,1.0,1.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.044627,1.0,8.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,7.721246399047171,1.0345132990659367
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(N)=O)C(C)C)C(C)C,1412.0,5.958607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.218,-0.275,0.0,-0.14160551,0.017,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,1.0,0.30548108,0.075,0.0,0.0,1.0,14.402597,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.939,1.0,1.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0327315,1.0,7.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5.958607314841775,1.0345132990659367
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(N)=O)C(C)C)C(C)C,1392.0,5.958607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.196,-0.268,0.0,-0.14154303,0.021,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,1.0,0.30548108,0.08,0.0,0.0,1.0,14.362205,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.944,1.0,1.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0160265,1.0,7.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5.958607314841775,1.0345132990659367
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(N)=O)C(C)C)C(C)C,1392.0,5.920819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.196,-0.266,0.0,-0.14154308,0.023,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,1.0,0.30548108,0.082,0.0,0.0,1.0,14.34375,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.944,1.0,1.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.016068,1.0,7.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5.920818753952375,1.0345132990659367
CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCNC(=O)C[C@@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(=O)O)NC1=O)[C@@H](C)O)C(C)C)[C@@H](C)O,1304.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.232,-0.244,0.0,-0.13868402,0.035,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,1.0,0.30293566,0.101,0.0,0.0,1.0,18.18792,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.93,1.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0294533,1.0,7.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0,1.0345132990659367
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(N)=O)C(C)C)C(C)C,1397.0,5.4089355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.175,-0.256,0.0,-0.14155078,0.015,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,1.0,0.30548108,0.072,0.0,0.0,1.0,14.322835,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.927,1.0,1.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.021156,1.0,7.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5.4089353929735005,1.0345132990659367
CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@]1(C)CCC/C=C\CCC[C@@](C)(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](C(N)=O)C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(=O)O)NC1=O)[C@@H](C)O)C(C)C)[C@@H](C)O,1286.0,5.1870866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.195,-0.213,0.0,-0.13986273,0.047,0.0,1.0,21.80585,1.0,0.0,0.0,1.0,2.0,0.042,0.0,1.0,1.0,0.30293566,0.117,0.0,1.0,1.0,20.314516,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.897,1.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,6.0221405,1.0,7.0,0.0,1.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5.187086643357144,1.0345132990659367
CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCNC(=O)C[C@@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCCN)C(N)=O)C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(=O)O)NC1=O)[C@@H](C)O)C(C)C)[C@@H](C)O,1320.0,6.876148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.257,-0.261,0.0,-0.13871196,0.035,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.0,0.30293566,0.102,0.0,0.0,1.0,17.79651,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.949,1.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.040101,1.0,7.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,6.876148359032914,1.0345132990659367
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@]1(C)CCC/C=C\CCC[C@@](C)(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(=O)O)NC1=O)C(C)C,1419.0,8.1549015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.325,-0.309,0.0,-0.13985291,0.042,0.0,1.0,21.80585,1.0,0.0,0.0,1.0,2.0,0.037,0.0,1.0,1.0,0.30293566,0.102,0.0,1.0,1.0,17.972973,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98,1.0,1.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,6.04451,1.0,8.0,0.0,1.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,8.154901959985743,1.0345132990659367
CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)NC(C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)C(C)C)[C@@H](C)O)C(C)C)[C@@H](C)O,1320.0,7.139662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.253,-0.269,0.0,-0.13987875,0.035,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.0,0.30293566,0.102,0.0,0.0,1.0,15.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.951,1.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.03593,1.0,6.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,7.139661993429006,1.0345132990659367
CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCNC(=O)C[C@@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(=O)O)NC1=O)[C@@H](C)O)C(C)C)[C@@H](C)O,1319.0,7.60206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.266,-0.263,0.0,-0.13871218,0.036,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,1.0,0.30293566,0.101,0.0,0.0,1.0,17.664772,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.961,1.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.040743,1.0,7.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,7.602059991327962,1.0345132990659367
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(N)=O)C(C)C)C(C)C,1397.0,6.062984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.203,-0.269,0.0,-0.14154316,0.02,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,1.0,0.30548108,0.075,0.0,0.0,1.0,14.2384615,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.924,1.0,1.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.016771,1.0,7.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,6.062983892535186,1.0345132990659367
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCNC(=O)C[C@@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](C(N)=O)C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(=O)O)NC1=O)C(C)C,1392.0,5.275724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.218,-0.264,0.0,-0.13867939,0.026,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,1.0,0.30293566,0.084,0.0,0.0,1.0,18.150793,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.949,1.0,1.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.022114,1.0,8.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5.275724130399211,1.0345132990659367
